# ps_pos w+ err
107.9936520 1.3561926 1.0590188
108.0747070 7.6936178 1.4083669
108.1499020 6.9911646 1.3105500
108.2255860 12.9402179 1.2602549
108.2998050 10.8729039 3.0472354
108.3750000 -4.3827305 3.3466069
108.4501950 -14.7319260 2.3572438
108.5249020 -10.2844160 2.2879582
108.6000980 -6.8508148 1.3341967
108.6748050 -2.1205066 1.1257423
108.7500000 0.7576428 1.0193582
108.8251950 5.0234549 1.2612048
108.8999020 7.6990795 1.5749071
108.9746090 14.4034194 1.4077819
109.0502930 16.8558396 3.1688545
109.1254880 4.2095247 4.5178312
109.2001950 -15.4007589 3.2565516
109.2744140 -12.6670379 1.8672429
109.3500980 -7.5958797 1.8709405
109.4252930 -7.4881408 1.8646175
109.5000000 -2.9552545 1.5149617
109.5747070 3.0385385 1.1225509
109.6503910 3.9121294 1.7124930
109.7250980 8.9485899 1.7161483
109.7998050 15.3954021 1.2327905
109.8750000 11.6387365 3.2643315
109.9497070 -3.3509093 3.2777343
110.0253910 -14.5513565 2.0289228
110.0996090 -10.5621545 2.0815341
110.1748050 -9.1171324 1.3469798
110.2500000 -5.2490629 1.0892166
110.3251950 0.8045403 0.9157931
