# ps_pos w+ err
107.9936520 6.1670044 2.0900283
108.0747070 4.3678846 1.6129737
108.1499020 -2.9256918 2.9014018
108.2255860 -7.8600059 3.5646391
108.2998050 -20.8883430 4.3015668
108.3750000 -15.9242626 4.4922789
108.4501950 -4.8895501 4.1839536
108.5249020 1.5529757 2.0895555
108.6000980 4.5928940 2.0092849
108.6748050 3.1925566 1.7419868
108.7500000 4.5995916 2.0919843
108.8251950 2.6862992 3.3419072
108.8999020 4.2696908 2.4887984
108.9746090 3.5206293 2.7836052
109.0502930 -6.8999615 4.1424197
109.1254880 -22.7748965 4.9524546
109.2001950 -18.1271889 5.6382109
109.2744140 -4.7455476 3.0073827
109.3500980 1.7164687 3.0426921
109.4252930 3.2081177 2.2893648
109.5000000 10.0552203 1.6507145
109.5747070 6.6956430 2.1085050
109.6503910 4.0495091 1.9270019
109.7250980 0.7606916 3.0393332
109.7998050 -6.8956861 4.0608809
109.8750000 -17.1399649 4.3874924
109.9497070 -15.3365218 5.2954193
110.0253910 -8.1995464 2.7261549
110.0996090 1.8115075 2.9671308
110.1748050 -0.0414376 2.7230537
110.2500000 5.0606678 2.0491307
110.3251950 5.0827406 2.2994433
