# chi w+ err
0.3750930 1.3768199 1.0585169
1.0240332 7.7149845 1.4085820
1.6260572 7.0063406 1.3116685
2.2319963 12.9482334 1.2619929
2.8262062 10.8577833 3.0540760
3.4282303 -4.4137590 3.3311481
4.0302543 -14.7042092 2.3491921
4.6283713 -10.2643068 2.2822510
5.2304033 -6.8350839 1.3317550
5.8285203 -2.1103428 1.1243240
6.4305443 0.7660055 1.0183812
7.0325683 5.0296388 1.2602544
7.6306853 7.7039846 1.5738385
8.2288023 14.4022079 1.4065417
8.8347413 16.8465112 3.1650284
9.4367653 4.2096529 4.5093600
10.0348823 -15.3780237 3.2516797
10.6290923 -12.6591418 1.8656499
11.2350314 -7.5947645 1.8696975
11.8370554 -7.4871642 1.8632148
12.4351724 -2.9567249 1.5135480
13.0332894 3.0319619 1.1211149
13.6392284 3.9068045 1.7093707
14.2373454 8.9372126 1.7116514
14.8354624 15.3746992 1.2284964
15.4374864 11.6461975 3.2470729
16.0356034 -3.3027498 3.2841062
16.6415424 -14.5530112 2.0322853
17.2357444 -10.5773058 2.0840679
17.8377764 -9.1341481 1.3475286
18.4398005 -5.2634902 1.0888710
19.0418245 0.7873870 0.9147780
