# chi w+ err
0.3465948 7.2407239 2.7004931
0.9949675 4.1056594 2.0376604
1.5964650 -2.0572047 3.4559554
2.2018741 -3.3810929 4.3235073
2.7955645 -18.1047433 6.5384131
3.3970620 -15.7216800 4.9680614
3.9985595 -1.6442289 5.3795739
4.5961534 0.9106551 2.6690090
5.1976589 4.6752614 2.4552035
5.7952529 4.1102532 2.0416951
6.3967504 5.2461638 2.4742022
6.9982479 6.3525579 3.6873593
7.5958418 3.1862083 2.9021861
8.1934358 6.5854742 2.9270870
8.7988449 -1.4645634 6.6396183
9.4003424 -17.8264734 7.5562477
9.9979363 -17.1049855 7.2419667
10.5916267 -4.2256159 4.2778752
11.1970358 2.9149567 3.7580055
11.7985333 3.6987360 3.1957480
12.3961272 10.2434488 2.0846874
12.9937212 8.4052533 2.2539919
13.5991303 4.8429661 2.3998106
14.1967242 3.9708701 3.7354138
14.7943181 -3.4288613 5.1506147
15.3958157 -18.5810111 5.1686720
15.9934096 -7.2047248 7.7293034
16.5988187 -6.4887579 4.3165999
17.1925010 4.1954196 3.6366082
17.7940066 -0.5121135 3.2136087
18.3955041 6.2696951 2.7291413
18.9970016 4.3664734 2.6370351
