# chi w+ err
0.3510849 5.8604084 2.4733067
0.9991363 4.1274012 1.8567365
1.6003358 -3.7749731 3.4853294
2.2054449 -7.2962220 4.2923198
2.7988411 -18.9137813 5.2457823
3.4000406 -12.5281425 5.5283656
4.0012401 -2.8175034 5.1521143
4.5985379 1.9830229 2.4578469
5.1997454 4.5091093 2.3571819
5.7970433 2.3100854 2.0264286
6.3982428 3.9115135 2.4708194
6.9994423 1.8050296 4.0653812
7.5967401 4.5376774 3.0201007
8.1940380 5.3451674 3.4311446
8.7991471 -2.5636003 5.3555793
9.4003466 -18.7460335 6.5978600
9.9976445 -17.3996872 7.2970662
10.5910406 -4.4625532 3.6984260
11.1961498 1.3406732 3.6502488
11.7973493 2.4663939 2.7205393
12.3946471 10.7034436 1.9090039
12.9919450 6.6658866 2.5266035
13.5970541 3.8216401 2.2571073
14.1943520 1.1161626 3.7172199
14.7916498 -5.6561314 5.0201213
15.3928493 -13.3491946 5.4955476
15.9901472 -11.8485438 6.7158718
16.5952563 -6.9999611 3.3378207
17.1886445 2.3868911 3.6412190
17.7898520 -1.2693370 3.3228934
18.3910515 4.6384182 2.4422251
18.9922510 4.5241817 2.7506611
