# chi w+ err
0.3713491 1.3561926 1.0590188
1.0205532 7.6936178 1.4083669
1.6228220 6.9911646 1.3105500
2.2290075 12.9402179 1.2602549
2.8234591 10.8729039 3.0472354
3.4257279 -4.3827305 3.3466069
4.0279967 -14.7319260 2.3572438
4.6263570 -10.2844160 2.2879582
5.2286338 -6.8508148 1.3341967
5.8269940 -2.1205066 1.1257423
6.4292628 0.7576428 1.0193582
7.0315317 5.0234549 1.2612048
7.6298919 7.6990795 1.5749071
8.2282521 14.4034194 1.4077819
8.8344376 16.8558396 3.1688545
9.4367064 4.2095247 4.5178312
10.0350666 -15.4007589 3.2565516
10.6295182 -12.6670379 1.8672429
11.2357037 -7.5958797 1.8709405
11.8379725 -7.4881408 1.8646175
12.4363327 -2.9552545 1.5149617
13.0346929 3.0385385 1.1225509
13.6408784 3.9121294 1.7124930
14.2392386 8.9485899 1.7161483
14.8375988 15.3954021 1.2327905
15.4398676 11.6387365 3.2643315
16.0382279 -3.3509093 3.2777343
16.6444133 -14.5513565 2.0289228
17.2388569 -10.5621545 2.0815341
17.8411337 -9.1171324 1.3469798
18.4434026 -5.2490629 1.0892166
19.0456714 0.8045403 0.9157931
