* begin:	11/09/2023 17:15:26
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1_19pt.cfg
*
* no cfg file, sc file created manually
* 0	0.1480000	5.0	26817	373	33128	47967	3777291330	27190	0.0000000	0.0000000
* Date: 11/09/2023	Time: 17:35
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1200.026000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.03	82	172
1	3.00	1200.03	178	329
2	6.00	1200.03	213	367
3	9.00	1200.03	214	365
4	12.00	1200.03	247	354
5	15.00	1200.03	247	333
6	18.00	1200.03	242	364
7	21.00	1200.03	244	343
8	24.00	1200.03	243	306
9	27.00	1200.03	232	290
10	30.00	1200.03	209	289
11	33.00	1200.03	212	266
12	36.00	1200.03	203	264
13	39.00	1200.03	191	257
14	42.00	1200.03	191	225
15	45.00	1200.03	184	205
16	48.00	1200.03	203	244
17	51.00	1200.03	179	248
18	54.00	1200.03	162	237
19	57.00	1200.03	187	260
20	60.00	1200.03	163	301
21	63.00	1200.03	149	261
22	66.00	1200.03	181	307
23	69.00	1200.03	151	299
24	72.00	1200.03	189	310
25	75.00	1200.03	193	286
26	78.00	1200.03	199	284
27	81.00	1200.03	196	331
28	84.00	1200.03	164	314
29	87.00	1200.03	150	323
30	90.00	1200.03	158	381
31	93.00	1200.03	157	448
32	96.00	1200.03	145	474
33	99.00	1200.03	129	527
34	102.00	1200.03	132	526
35	105.00	1200.03	155	579
36	108.00	1200.03	167	606
37	111.00	1200.03	148	518
38	114.00	1200.03	162	489
39	117.00	1200.03	170	468
40	120.00	1200.03	184	438
41	123.00	1200.03	205	361
42	126.00	1200.03	201	307
43	129.00	1200.03	229	253
44	132.00	1200.03	245	194
45	135.00	1200.03	261	169
46	138.00	1200.03	267	136
47	141.00	1200.03	256	147
48	144.00	1200.03	246	116
49	147.00	1200.03	232	118
50	150.00	1200.03	258	148
51	153.00	1200.03	230	156
52	156.00	1200.03	213	194
53	159.00	1200.03	238	207
54	162.00	1200.03	190	283
55	165.00	1200.03	158	317
56	168.00	1200.03	161	365
57	171.00	1200.03	136	423
58	174.00	1200.03	138	515
59	177.00	1200.03	132	524
60	180.00	1200.03	118	533
61	183.00	1200.03	110	525
62	186.00	1200.03	130	554
63	189.00	1200.03	118	523
64	192.00	1200.03	142	496
65	195.00	1200.03	135	410
66	198.00	1200.03	156	401
67	201.00	1200.03	173	339
68	204.00	1200.03	167	353
69	207.00	1200.03	194	317
70	210.00	1200.03	218	288
71	213.00	1200.03	214	289
72	216.00	1200.03	255	243
73	219.00	1200.03	230	258
74	222.00	1200.03	221	269
75	225.00	1200.03	232	297
76	228.00	1200.03	219	295
77	231.00	1200.03	210	313
78	234.00	1200.03	235	327
79	237.00	1200.03	218	313
80	240.00	1200.03	212	298
81	243.00	1200.03	203	295
82	246.00	1200.03	179	317
83	249.00	1200.03	157	314
84	252.00	1200.03	189	276
85	255.00	1200.03	163	277
86	258.00	1200.03	193	232
87	261.00	1200.03	185	195
88	264.00	1200.03	180	203
89	267.00	1200.03	165	186
90	270.00	1200.03	168	177
91	273.00	1200.03	199	205
92	276.00	1200.03	184	210
93	279.00	1200.03	213	268
94	282.00	1200.03	204	272
95	285.00	1200.03	188	343
96	288.00	1200.03	180	381
97	291.00	1200.03	164	412
98	294.00	1200.03	196	453
99	297.00	1200.03	173	525
100	300.00	1200.03	169	530
101	303.00	1200.03	212	529
102	306.00	1200.03	142	580
103	309.00	1200.03	135	568
104	312.00	1200.03	163	551
105	315.00	1200.03	162	501
106	318.00	1200.03	147	484
107	321.00	1200.03	152	416
108	324.00	1200.03	155	332
109	327.00	1200.03	169	263
110	330.00	1200.03	145	238
111	333.00	1200.03	151	200
112	336.00	1200.03	160	156
113	339.00	1200.03	172	129
114	342.00	1200.03	176	125
115	345.00	1200.03	156	140
116	348.00	1200.03	168	130
117	351.00	1200.03	170	119
118	354.00	1200.03	208	177
119	357.00	1200.03	203	208
120	360.00	1200.03	216	239
121	363.00	1200.03	204	319
122	366.00	1200.03	225	371
123	369.00	1200.03	210	416
124	372.00	1200.03	226	421
125	375.00	1200.03	261	470
126	378.00	1200.03	246	479
127	381.00	1200.03	263	529
128	384.00	1200.03	228	520
129	387.00	1200.03	244	501
130	390.00	1200.03	218	476
131	393.00	1200.03	226	477
132	396.00	1200.03	201	424
133	399.00	1200.03	181	346
134	402.00	1200.03	162	357
135	405.00	1200.03	138	319
136	408.00	1200.03	122	299
137	411.00	1200.03	133	273
138	414.00	1200.03	118	279
139	417.00	1200.03	98	256
140	420.00	1200.03	113	269
141	423.00	1200.03	135	281
142	426.00	1200.03	132	295
143	429.00	1200.03	129	303
144	432.00	1200.03	150	327
* end: 11/09/2023 17:35:32
