# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 218 7675 687939 7764 3763874532 7893 0.0000000 0.0000000 109.8750000
5.0000000 60.0 407 7629 653711 7917 3763874599 8036 0.0000000 0.0000000 109.8750000
10.0000000 60.0 616 7830 668043 7939 3763874667 8446 0.0000000 0.0000000 109.8750000
15.0000000 60.0 652 7802 727849 7992 3763874735 8454 0.0000000 0.0000000 109.8750000
20.0000000 60.0 650 7786 725831 7940 3763874802 8436 0.0000000 0.0000000 109.8750000
25.0000000 60.0 490 7777 706191 8035 3763874870 8267 0.0000000 0.0000000 109.8750000
30.0000000 60.0 303 7767 675666 7863 3763874938 8070 0.0000000 0.0000000 109.8750000
35.0000000 60.0 130 7656 624907 7776 3763875005 7786 0.0000000 0.0000000 109.8750000
40.0000000 60.0 77 7892 620951 7916 3763875073 7969 0.0000000 0.0000000 109.8750000
45.0000000 60.0 145 7669 660762 7841 3763875141 7814 0.0000000 0.0000000 109.8750000
50.0000000 60.0 304 7840 655774 7899 3763875209 8144 0.0000000 0.0000000 109.8750000
55.0000000 60.0 507 7853 649841 7881 3763875276 8360 0.0000000 0.0000000 109.8750000
60.0000000 60.0 640 7708 649362 7727 3763875344 8348 0.0000000 0.0000000 109.8750000
65.0000000 60.0 676 7822 714938 7812 3763875412 8498 0.0000000 0.0000000 109.8750000
70.0000000 60.0 553 7770 800105 7892 3763875479 8323 0.0000000 0.0000000 109.8750000
75.0000000 60.0 408 7956 748768 8006 3763875547 8364 0.0000000 0.0000000 109.8750000
80.0000000 60.0 204 7870 697967 7757 3763875615 8074 0.0000000 0.0000000 109.8750000
85.0000000 60.0 86 7747 704717 7970 3763875682 7833 0.0000000 0.0000000 109.8750000
90.0000000 60.0 94 7752 636809 7901 3763875750 7846 0.0000000 0.0000000 109.8750000
95.0000000 60.0 221 7811 636565 7899 3763875818 8032 0.0000000 0.0000000 109.8750000
