# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 205 13096 691939 7752 3764385977 13301 0.0000000 0.0000000 109.7250980 59.2625000
-1.5000000 60.0 212 13602 626370 7729 3764386041 13814 0.0000000 0.0000000 109.7250980 59.2625000
-1.2500000 60.0 335 13299 531460 7802 3764386105 13634 0.0000000 0.0000000 109.7250980 59.2625000
-1.0000000 60.0 486 13702 710259 7713 3764386170 14188 0.0000000 0.0000000 109.7250980 59.2625000
-0.7500000 60.0 634 13151 652094 7782 3764386234 13785 0.0000000 0.0000000 109.7250980 59.2625000
-0.5000000 60.0 694 13268 657321 7647 3764386298 13962 0.0000000 0.0000000 109.7250980 59.2625000
-0.2500000 60.0 615 13601 692687 7619 3764386362 14216 0.0000000 0.0000000 109.7250980 59.2625000
0.0000000 60.0 527 13238 723073 7601 3764386427 13765 0.0000000 0.0000000 109.7250980 59.2625000
0.2500000 60.0 311 13500 637963 7691 3764386491 13811 0.0000000 0.0000000 109.7250980 59.2625000
0.5000000 60.0 226 13615 614136 7709 3764386555 13841 0.0000000 0.0000000 109.7250980 59.2625000
0.7500000 60.0 218 13174 620419 7759 3764386619 13392 0.0000000 0.0000000 109.7250980 59.2625000
1.0000000 60.0 329 13482 637059 7743 3764386684 13811 0.0000000 0.0000000 109.7250980 59.2625000
1.2500000 60.0 450 13613 618067 7682 3764386748 14063 0.0000000 0.0000000 109.7250980 59.2625000
1.5000000 60.0 651 13415 614308 7696 3764386812 14066 0.0000000 0.0000000 109.7250980 59.2625000
1.7500000 60.0 670 13296 615742 7716 3764386876 13966 0.0000000 0.0000000 109.7250980 59.2625000
