# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 159 9722 605998 7526 3764343621 9881 0.0000000 0.0000000 108.3750000 58.7500000
-1.5000000 60.0 506 9382 604069 7611 3764343685 9888 0.0000000 0.0000000 108.3750000 58.7500000
-1.2500000 60.0 1183 9413 605160 7569 3764343749 10596 0.0000000 0.0000000 108.3750000 58.7500000
-1.0000000 60.0 1750 9540 602521 7574 3764343813 11290 0.0000000 0.0000000 108.3750000 58.7500000
-0.7500000 60.0 2090 9536 605043 7433 3764343877 11626 0.0000000 0.0000000 108.3750000 58.7500000
-0.5000000 60.0 1949 9775 603682 7566 3764343942 11724 0.0000000 0.0000000 108.3750000 58.7500000
-0.2500000 60.0 1478 9627 605172 7517 3764344006 11105 0.0000000 0.0000000 108.3750000 58.7500000
0.0000000 60.0 798 9619 603879 7571 3764344070 10417 0.0000000 0.0000000 108.3750000 58.7500000
0.2500000 60.0 288 9586 604058 7399 3764344134 9874 0.0000000 0.0000000 108.3750000 58.7500000
0.5000000 60.0 162 9537 603968 7424 3764344198 9699 0.0000000 0.0000000 108.3750000 58.7500000
0.7500000 60.0 501 9601 606696 7476 3764344262 10102 0.0000000 0.0000000 108.3750000 58.7500000
1.0000000 60.0 1215 9196 606404 7449 3764344326 10411 0.0000000 0.0000000 108.3750000 58.7500000
1.2500000 60.0 1766 9454 603511 7514 3764344391 11220 0.0000000 0.0000000 108.3750000 58.7500000
1.5000000 60.0 2208 9319 606624 7434 3764344455 11527 0.0000000 0.0000000 108.3750000 58.7500000
1.7500000 60.0 1973 9519 604132 7461 3764344519 11492 0.0000000 0.0000000 108.3750000 58.7500000
