*Begin rocking: 13/06/2023 09:54:29
*Points: 0
*
*notes: 
*Rho-Axis: 1.700
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	5.0240000	5	678	1041	46940	213	1719
         1	5.0240500	5	811	1106	47449	225	1917
         2	5.0241000	5	1177	1251	47237	279	2428
         3	5.0241500	5	1594	1582	47142	334	3176
         4	5.0242100	5	2053	2050	47257	411	4103
         5	5.0242500	5	2264	2468	47162	432	4732
         6	5.0243000	5	2630	2711	46940	493	5341
         7	5.0243500	5	2757	2957	47245	530	5714
         8	5.0244100	5	2632	3014	47086	547	5646
         9	5.0244500	5	2420	3171	47523	529	5591
        10	5.0245100	5	1937	3122	47256	493	5059
        11	5.0245500	5	1585	2858	47172	455	4443
        12	5.0246200	5	1234	2334	47114	402	3568
        13	5.0246600	5	1003	2068	47396	351	3071
        14	5.0247000	5	737	1844	47110	315	2581
        15	5.0247500	5	489	1484	46969	229	1973
*stopped by user: 13/06/2023 09:56:15
