# Coil_pos O-Beam err ps_pos
0.0000000 307.3092421 25.1992063 109.6503910
5.0000000 318.5613403 28.9654967 109.6503910
10.0000000 362.5408234 31.3209195 109.6503910
15.0000000 397.1271253 31.2729915 109.6503910
20.0000000 421.6448875 29.0688837 109.6503910
25.0000000 319.4013637 23.0434372 109.6503910
30.0000000 280.0835641 17.7200451 109.6503910
35.0000000 268.5891682 15.2643375 109.6503910
40.0000000 228.9308797 16.1554944 109.6503910
45.0000000 229.3255722 20.9284495 109.6503910
50.0000000 236.4264486 25.6320112 109.6503910
55.0000000 306.6059895 29.7657521 109.6503910
60.0000000 432.1002307 32.4191302 109.6503910
65.0000000 389.3850399 30.1993377 109.6503910
70.0000000 347.3048595 26.0384331 109.6503910
75.0000000 323.8195731 21.1423745 109.6503910
80.0000000 292.3852171 16.7032931 109.6503910
85.0000000 229.0471213 14.3874946 109.6503910
90.0000000 230.1928404 18.1934054 109.6503910
95.0000000 280.0587240 24.1660919 109.6503910
