# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.000 15 153 40.000
1.000 3600.000 39 288 40.000
2.000 3600.000 43 249 40.000
3.000 3600.000 36 220 40.000
4.000 3600.000 43 189 40.000
5.000 3600.000 41 126 40.000
6.000 3600.000 46 90 40.000
7.000 3600.000 48 61 40.000
8.000 3600.000 37 43 40.000
9.000 3600.000 32 58 40.000
10.000 3600.000 38 67 40.000
11.000 3600.000 28 115 40.000
12.000 3600.000 35 172 40.000
13.000 3600.000 40 192 40.000
14.000 3600.000 31 245 40.000
15.000 3600.000 35 243 40.000
16.000 3600.000 41 274 40.000
17.000 3600.000 41 273 40.000
18.000 3600.000 42 290 40.000
19.000 3600.000 37 232 40.000
20.000 3600.000 39 172 40.000
21.000 3600.000 33 136 40.000
22.000 3600.000 42 113 40.000
23.000 3600.000 43 85 40.000
24.000 3600.000 46 39 40.000
25.000 3600.000 37 43 40.000
26.000 3600.000 57 56 40.000
27.000 3600.000 44 82 40.000
28.000 3600.000 51 117 40.000
29.000 3600.000 49 152 40.000
30.000 3600.000 53 177 40.000
31.000 3600.000 36 237 40.000
32.000 3600.000 45 221 40.000
33.000 3600.000 29 224 40.000
34.000 3600.000 34 249 40.000
35.000 3600.000 36 214 40.000
36.000 3600.000 47 188 40.000
37.000 3600.000 44 151 40.000
38.000 3600.000 41 115 40.000
39.000 3600.000 38 78 40.000
40.000 3600.000 44 72 40.000
41.000 3600.000 50 52 40.000
42.000 3600.000 48 47 40.000
43.000 3600.000 58 48 40.000
44.000 3600.000 43 89 40.000
45.000 3600.000 49 104 40.000
46.000 3600.000 61 135 40.000
47.000 3600.000 41 170 40.000
48.000 3600.000 57 178 40.000
49.000 3600.000 56 173 40.000
50.000 3600.000 38 200 40.000
51.000 3600.000 47 187 40.000
52.000 3600.000 50 154 40.000
53.000 3600.000 51 163 40.000
54.000 3600.000 33 123 40.000
55.000 3600.000 46 80 40.000
56.000 3600.000 70 79 40.000
57.000 3600.000 51 60 40.000
58.000 3600.000 56 57 40.000
59.000 3600.000 58 42 40.000
60.000 3600.000 53 68 40.000
61.000 3600.000 53 74 40.000
62.000 3600.000 69 90 40.000
63.000 3600.000 55 117 40.000
64.000 3600.000 60 103 40.000
65.000 3600.000 55 132 40.000
66.000 3600.000 56 139 40.000
67.000 3600.000 46 134 40.000
68.000 3600.000 58 141 40.000
69.000 3600.000 53 108 40.000
70.000 3600.000 62 105 40.000
71.000 3600.000 50 102 40.000
72.000 3600.000 42 101 40.000
73.000 3600.000 48 91 40.000
74.000 3600.000 57 96 40.000
75.000 3600.000 53 84 40.000
76.000 3600.000 72 86 40.000
77.000 3600.000 59 106 40.000
78.000 3600.000 54 99 40.000
79.000 3600.000 56 108 40.000
80.000 3600.000 66 116 40.000
81.000 3600.000 52 73 40.000
82.000 3600.000 62 100 40.000
83.000 3600.000 49 89 40.000
84.000 3600.000 50 106 40.000
85.000 3600.000 49 97 40.000
86.000 3600.000 54 88 40.000
87.000 3600.000 53 97 40.000
88.000 3600.000 50 109 40.000
89.000 3600.000 56 114 40.000
90.000 3600.000 55 115 40.000
91.000 3600.000 58 140 40.000
92.000 3600.000 55 160 40.000
93.000 3600.000 54 159 40.000
94.000 3600.000 73 154 40.000
95.000 3600.000 64 151 40.000
96.000 3600.000 60 121 40.000
97.000 3600.000 62 112 40.000
98.000 3600.000 70 90 40.000
99.000 3600.000 58 70 40.000
100.000 3600.000 58 74 40.000
101.000 3600.000 71 70 40.000
102.000 3600.000 54 67 40.000
103.000 3600.000 47 99 40.000
104.000 3600.000 67 99 40.000
105.000 3600.000 46 104 40.000
106.000 3600.000 57 144 40.000
107.000 3600.000 50 190 40.000
108.000 3600.000 53 204 40.000
109.000 3600.000 71 189 40.000
110.000 3600.000 57 208 40.000
111.000 3600.000 67 199 40.000
112.000 3600.000 66 185 40.000
113.000 3600.000 63 149 40.000
114.000 3600.000 58 135 40.000
115.000 3600.000 65 109 40.000
116.000 3600.000 46 80 40.000
117.000 3600.000 62 56 40.000
118.000 3600.000 55 61 40.000
119.000 3600.000 52 63 40.000
120.000 3600.000 54 65 40.000
121.000 3600.000 53 102 40.000
122.000 3600.000 46 153 40.000
123.000 3600.000 42 168 40.000
124.000 3600.000 44 216 40.000
125.000 3600.000 57 256 40.000
126.000 3600.000 54 263 40.000
127.000 3600.000 53 277 40.000
128.000 3600.000 56 263 40.000
129.000 3600.000 52 221 40.000
130.000 3600.000 48 200 40.000
