*Begin rocking: 16/03/2024 17:58:28
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9303000	2	6	2	15843	0	8
         1	0.9303600	2	0	4	16223	0	4
         2	0.9304200	2	23	8	15889	0	31
         3	0.9304500	2	25	15	16231	0	40
         4	0.9304900	2	49	33	15989	2	82
         5	0.9305500	2	78	90	16296	0	168
         6	0.9306100	2	111	223	16123	2	334
         7	0.9306400	2	131	374	16167	1	505
         8	0.9307000	2	162	350	16089	2	512
         9	0.9307500	2	151	414	15993	3	565
        10	0.9308100	2	149	388	16096	3	537
        11	0.9308600	2	129	342	15805	1	471
        12	0.9309100	2	113	236	16118	5	349
        13	0.9309500	2	80	140	16354	0	220
        14	0.9310000	2	64	42	15780	3	106
        15	0.9310500	2	31	12	16286	1	43
        16	0.9310900	2	15	10	16112	4	25
        17	0.9311500	2	14	4	16278	3	18
        18	0.9312000	2	8	6	16095	3	14
        19	0.9312400	2	4	0	16504	0	4
        20	0.9313100	2	4	1	16164	1	5
        21	0.9313500	2	5	0	16204	4	5
        22	0.9314000	2	2	0	15912	1	2
        23	0.9314400	2	2	0	15855	3	2
*stopped by user: 16/03/2024 17:59:59
