*Begin rocking: 16/03/2024 12:47:54
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9304800	2	4323	4603	15576	7	8926
         1	0.9305300	2	6245	5571	15568	6	11816
         2	0.9305800	2	8221	7149	15652	7	15370
         3	0.9306200	2	9401	7742	15579	9	17143
         4	0.9306600	2	10237	7727	15476	5	17964
         5	0.9307200	2	9967	7902	15655	5	17869
         6	0.9307800	2	8906	7731	15944	1	16637
         7	0.9308100	2	7439	7459	15702	6	14898
         8	0.9308700	2	5371	6025	15473	6	11396
         9	0.9309200	2	3836	4997	15572	6	8833
        10	0.9309600	2	2105	4641	15301	4	6746
        11	0.9310300	2	1124	3935	15372	3	5059
        12	0.9310700	2	532	3231	15686	1	3763
*stopped by user: 16/03/2024 12:48:42
