# BinNR microsec O-Beam AUX chi(deg)
176.000 3600.020 36 119 -120.000
177.000 3600.020 31 107 -120.000
178.000 3600.020 37 140 -120.000
179.000 3600.020 31 123 -120.000
180.000 3600.020 41 114 -120.000
181.000 3600.020 28 96 -120.000
182.000 3600.020 27 98 -120.000
183.000 3600.020 28 75 -120.000
184.000 3600.020 27 72 -120.000
185.000 3600.020 32 49 -120.000
186.000 3600.020 29 46 -120.000
187.000 3600.020 23 52 -120.000
188.000 3600.020 24 50 -120.000
189.000 3600.020 27 61 -120.000
190.000 3600.020 35 96 -120.000
191.000 3600.020 32 80 -120.000
192.000 3600.020 29 106 -120.000
193.000 3600.020 30 100 -120.000
194.000 3600.020 42 127 -120.000
195.000 3600.020 33 107 -120.000
196.000 3600.020 39 134 -120.000
197.000 3600.020 30 110 -120.000
198.000 3600.020 30 73 -120.000
199.000 3600.020 24 79 -120.000
200.000 3600.020 30 70 -120.000
201.000 3600.020 22 39 -120.000
202.000 3600.020 33 41 -120.000
203.000 3600.020 40 42 -120.000
204.000 3600.020 35 44 -120.000
205.000 3600.020 23 61 -120.000
206.000 3600.020 34 73 -120.000
207.000 3600.020 44 81 -120.000
208.000 3600.020 36 119 -120.000
209.000 3600.020 37 120 -120.000
210.000 3600.020 29 114 -120.000
211.000 3600.020 34 115 -120.000
212.000 3600.020 23 118 -120.000
213.000 3600.020 30 99 -120.000
214.000 3600.020 22 108 -120.000
215.000 3600.020 33 86 -120.000
216.000 3600.020 34 59 -120.000
217.000 3600.020 33 33 -120.000
218.000 3600.020 33 44 -120.000
219.000 3600.020 28 49 -120.000
220.000 3600.020 26 47 -120.000
221.000 3600.020 36 53 -120.000
222.000 3600.020 33 78 -120.000
223.000 3600.020 30 83 -120.000
224.000 3600.020 40 113 -120.000
225.000 3600.020 33 121 -120.000
226.000 3600.020 31 130 -120.000
227.000 3600.020 30 134 -120.000
228.000 3600.020 32 134 -120.000
229.000 3600.020 31 130 -120.000
230.000 3600.020 43 105 -120.000
231.000 3600.020 32 85 -120.000
232.000 3600.020 29 62 -120.000
233.000 3600.020 33 39 -120.000
234.000 3600.020 33 45 -120.000
235.000 3600.020 28 44 -120.000
236.000 3600.020 34 50 -120.000
237.000 3600.020 27 81 -120.000
238.000 3600.020 29 78 -120.000
239.000 3600.020 42 78 -120.000
240.000 3600.020 14 131 -120.000
241.000 3600.020 36 117 -120.000
242.000 3600.020 40 139 -120.000
243.000 3600.020 29 117 -120.000
244.000 3600.020 36 117 -120.000
245.000 3600.020 24 134 -120.000
246.000 3600.020 32 89 -120.000
247.000 3600.020 38 86 -120.000
248.000 3600.020 44 55 -120.000
249.000 3600.020 33 42 -120.000
250.000 3600.020 45 40 -120.000
251.000 3600.020 28 50 -120.000
252.000 3600.020 29 45 -120.000
253.000 3600.020 35 55 -120.000
254.000 3600.020 42 79 -120.000
255.000 3600.020 36 107 -120.000
256.000 3600.020 18 104 -120.000
257.000 3600.020 34 127 -120.000
258.000 3600.020 36 137 -120.000
259.000 3600.020 31 131 -120.000
260.000 3600.020 29 139 -120.000
261.000 3600.020 38 109 -120.000
262.000 3600.020 27 94 -120.000
263.000 3600.020 33 58 -120.000
264.000 3600.020 29 59 -120.000
265.000 3600.020 35 42 -120.000
266.000 3600.020 39 52 -120.000
267.000 3600.020 33 55 -120.000
268.000 3600.020 39 50 -120.000
269.000 3600.020 30 58 -120.000
270.000 3600.020 41 61 -120.000
271.000 3600.020 24 103 -120.000
272.000 3600.020 47 111 -120.000
273.000 3600.020 37 119 -120.000
274.000 3600.020 42 128 -120.000
275.000 3600.020 38 106 -120.000
276.000 3600.020 36 128 -120.000
277.000 3600.020 21 99 -120.000
278.000 3600.020 36 93 -120.000
279.000 3600.020 22 69 -120.000
280.000 3600.020 37 58 -120.000
281.000 3600.020 31 47 -120.000
282.000 3600.020 33 46 -120.000
283.000 3600.020 30 50 -120.000
284.000 3600.020 34 56 -120.000
285.000 3600.020 20 51 -120.000
286.000 3600.020 27 86 -120.000
287.000 3600.020 32 109 -120.000
288.000 3600.020 34 112 -120.000
289.000 3600.020 30 109 -120.000
290.000 3600.020 40 114 -120.000
291.000 3600.020 36 109 -120.000
292.000 3600.020 41 141 -120.000
293.000 3600.020 26 120 -120.000
294.000 3600.020 38 96 -120.000
295.000 3600.020 38 79 -120.000
296.000 3600.020 25 63 -120.000
297.000 3600.020 25 45 -120.000
298.000 3600.020 38 45 -120.000
299.000 3600.020 27 51 -120.000
300.000 3600.020 27 47 -120.000
301.000 3600.020 29 56 -120.000
302.000 3600.020 32 102 -120.000
303.000 3600.020 24 74 -120.000
304.000 3600.020 10 48 -120.000
