# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.999268 20.0 308 5181 126297 655 3776566867 6144 0.000000 0.000000 0.352941
-2.801514 20.0 423 4418 126066 1171 3776566894 6012 0.000000 0.000000 0.352941
-2.603760 20.0 540 3796 129034 1720 3776566920 6056 0.000000 0.000000 0.352941
-2.395020 20.0 714 3042 129907 2189 3776566947 5945 0.000000 0.000000 0.352941
-2.197266 20.0 730 2837 130194 2320 3776566974 5887 0.000000 0.000000 0.352941
-1.988525 20.0 696 3386 130422 1863 3776567001 5945 0.000000 0.000000 0.352941
-1.801758 20.0 572 3941 128792 1319 3776567027 5832 0.000000 0.000000 0.352941
-1.604004 20.0 370 4914 129487 766 3776567054 6050 0.000000 0.000000 0.352941
-1.384277 20.0 292 5489 130151 381 3776567081 6162 0.000000 0.000000 0.352941
-1.186523 20.0 245 5555 127658 356 3776567108 6156 0.000000 0.000000 0.352941
-1.010742 20.0 297 5252 127850 622 3776567134 6171 0.000000 0.000000 0.352941
-0.802002 20.0 396 4338 128312 1237 3776567161 5971 0.000000 0.000000 0.352941
-0.604248 20.0 578 3651 128497 1858 3776567188 6087 0.000000 0.000000 0.352941
-0.395508 20.0 733 2840 126924 2301 3776567214 5874 0.000000 0.000000 0.352941
-0.197754 20.0 788 2803 127836 2299 3776567241 5890 0.000000 0.000000 0.352941
0.000000 20.0 672 3336 127583 1893 3776567268 5901 0.000000 0.000000 0.352941
0.197754 20.0 535 4029 127934 1408 3776567294 5972 0.000000 0.000000 0.352941
0.384522 20.0 428 4861 133115 799 3776567321 6088 0.000000 0.000000 0.352941
0.604248 20.0 294 5428 132340 470 3776567348 6192 0.000000 0.000000 0.352941
0.812988 20.0 242 5685 131836 310 3776567374 6237 0.000000 0.000000 0.352941
0.988769 20.0 296 5299 131995 586 3776567401 6181 0.000000 0.000000 0.352941
1.197510 20.0 356 4565 125485 1037 3776567428 5958 0.000000 0.000000 0.352941
1.395264 20.0 527 3848 126118 1638 3776567454 6013 0.000000 0.000000 0.352941
1.593018 20.0 704 2910 126400 2209 3776567481 5823 0.000000 0.000000 0.352941
1.790771 20.0 797 2873 125487 2254 3776567508 5924 0.000000 0.000000 0.352941
1.977539 20.0 705 3126 126888 2078 3776567534 5909 0.000000 0.000000 0.352941
2.186279 20.0 526 4139 127174 1361 3776567561 6026 0.000000 0.000000 0.352941
2.384033 20.0 450 4758 127248 904 3776567588 6112 0.000000 0.000000 0.352941
2.614746 20.0 322 5450 128851 437 3776567615 6209 0.000000 0.000000 0.352941
2.812500 20.0 216 5516 132115 288 3776567641 6020 0.000000 0.000000 0.352941
3.010254 20.0 218 5472 133270 479 3776567668 6169 0.000000 0.000000 0.352941
