# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.010 28 82 40.000
1.000 3600.010 45 150 40.000
2.000 3600.010 47 175 40.000
3.000 3600.010 62 158 40.000
4.000 3600.010 41 134 40.000
5.000 3600.010 49 106 40.000
6.000 3600.010 56 137 40.000
7.000 3600.010 37 120 40.000
8.000 3600.010 48 139 40.000
9.000 3600.010 40 113 40.000
10.000 3600.010 47 115 40.000
11.000 3600.010 43 114 40.000
12.000 3600.010 48 144 40.000
13.000 3600.010 33 149 40.000
14.000 3600.010 42 135 40.000
15.000 3600.010 44 170 40.000
16.000 3600.010 48 182 40.000
17.000 3600.010 34 178 40.000
18.000 3600.010 39 174 40.000
19.000 3600.010 45 164 40.000
20.000 3600.010 46 142 40.000
21.000 3600.010 33 149 40.000
22.000 3600.010 46 133 40.000
23.000 3600.010 40 97 40.000
24.000 3600.010 40 105 40.000
25.000 3600.010 53 112 40.000
26.000 3600.010 41 115 40.000
27.000 3600.010 48 103 40.000
28.000 3600.010 51 126 40.000
29.000 3600.010 39 135 40.000
30.000 3600.010 45 144 40.000
31.000 3600.010 40 165 40.000
32.000 3600.010 51 143 40.000
33.000 3600.010 47 152 40.000
34.000 3600.010 42 169 40.000
35.000 3600.010 48 167 40.000
36.000 3600.010 55 145 40.000
37.000 3600.010 29 127 40.000
38.000 3600.010 50 111 40.000
39.000 3600.010 43 128 40.000
40.000 3600.010 45 102 40.000
41.000 3600.010 51 98 40.000
42.000 3600.010 44 128 40.000
43.000 3600.010 41 126 40.000
44.000 3600.010 30 112 40.000
45.000 3600.010 48 122 40.000
46.000 3600.010 48 133 40.000
47.000 3600.010 38 134 40.000
48.000 3600.010 59 165 40.000
49.000 3600.010 40 147 40.000
50.000 3600.010 43 159 40.000
51.000 3600.010 50 150 40.000
52.000 3600.010 52 146 40.000
53.000 3600.010 38 142 40.000
54.000 3600.010 27 128 40.000
55.000 3600.010 42 105 40.000
56.000 3600.010 51 126 40.000
57.000 3600.010 48 134 40.000
58.000 3600.010 35 128 40.000
59.000 3600.010 44 133 40.000
60.000 3600.010 46 131 40.000
61.000 3600.010 34 111 40.000
62.000 3600.010 47 126 40.000
63.000 3600.010 45 144 40.000
64.000 3600.010 53 146 40.000
65.000 3600.010 46 133 40.000
66.000 3600.010 59 143 40.000
67.000 3600.010 51 125 40.000
68.000 3600.010 50 173 40.000
69.000 3600.010 46 162 40.000
70.000 3600.010 41 146 40.000
71.000 3600.010 40 120 40.000
72.000 3600.010 50 148 40.000
73.000 3600.010 45 122 40.000
74.000 3600.010 46 133 40.000
75.000 3600.010 45 136 40.000
76.000 3600.010 40 146 40.000
77.000 3600.010 35 119 40.000
78.000 3600.010 54 145 40.000
79.000 3600.010 33 138 40.000
80.000 3600.010 47 147 40.000
81.000 3600.010 38 147 40.000
82.000 3600.010 39 142 40.000
83.000 3600.010 46 141 40.000
84.000 3600.010 42 153 40.000
85.000 3600.010 47 118 40.000
86.000 3600.010 44 125 40.000
87.000 3600.010 50 120 40.000
88.000 3600.010 56 124 40.000
89.000 3600.010 40 122 40.000
90.000 3600.010 43 139 40.000
91.000 3600.010 26 126 40.000
92.000 3600.010 49 130 40.000
93.000 3600.010 40 148 40.000
94.000 3600.010 41 150 40.000
95.000 3600.010 48 106 40.000
96.000 3600.010 54 117 40.000
97.000 3600.010 50 137 40.000
98.000 3600.010 41 124 40.000
99.000 3600.010 55 119 40.000
100.000 3600.010 46 140 40.000
101.000 3600.010 34 120 40.000
102.000 3600.010 54 121 40.000
103.000 3600.010 42 122 40.000
104.000 3600.010 44 133 40.000
105.000 3600.010 39 134 40.000
106.000 3600.010 36 143 40.000
107.000 3600.010 50 147 40.000
108.000 3600.010 46 164 40.000
109.000 3600.010 33 162 40.000
110.000 3600.010 44 166 40.000
111.000 3600.010 40 156 40.000
112.000 3600.010 49 176 40.000
113.000 3600.010 44 136 40.000
114.000 3600.010 47 135 40.000
115.000 3600.010 45 150 40.000
116.000 3600.010 65 129 40.000
117.000 3600.010 36 106 40.000
118.000 3600.010 53 116 40.000
119.000 3600.010 47 85 40.000
120.000 3600.010 37 129 40.000
121.000 3600.010 32 139 40.000
122.000 3600.010 58 178 40.000
123.000 3600.010 27 150 40.000
124.000 3600.010 42 162 40.000
125.000 3600.010 36 155 40.000
126.000 3600.010 50 183 40.000
127.000 3600.010 53 181 40.000
128.000 3600.010 61 154 40.000
129.000 3600.010 38 173 40.000
130.000 3600.010 43 140 40.000
131.000 3600.010 32 116 40.000
132.000 3600.010 49 118 40.000
133.000 3600.010 42 103 40.000
134.000 3600.010 50 110 40.000
135.000 3600.010 45 97 40.000
136.000 3600.010 36 104 40.000
137.000 3600.010 45 125 40.000
138.000 3600.010 41 142 40.000
139.000 3600.010 39 147 40.000
140.000 3600.010 49 152 40.000
141.000 3600.010 41 147 40.000
142.000 3600.010 48 197 40.000
