# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.988525 30.0 878 14851 230613 2148 3782220975 15729 0.000000 0.000000
-1.812744 30.0 624 16152 231190 1120 3782221011 16776 0.000000 0.000000
-1.604004 30.0 585 16161 231261 1145 3782221047 16746 0.000000 0.000000
-1.395264 30.0 951 14310 231965 2255 3782221084 15261 0.000000 0.000000
-1.197510 30.0 1636 11911 231183 3780 3782221120 13547 0.000000 0.000000
-1.010742 30.0 2159 8812 230566 5878 3782221156 10971 0.000000 0.000000
-0.802002 30.0 2510 7215 231921 6787 3782221192 9725 0.000000 0.000000
-0.615234 30.0 2500 6871 230762 7102 3782221228 9371 0.000000 0.000000
-0.395508 30.0 2179 8793 230473 6135 3782221264 10972 0.000000 0.000000
-0.197754 30.0 1672 11317 225688 4347 3782221300 12989 0.000000 0.000000
0.000000 30.0 1128 14073 225372 2512 3782221336 15201 0.000000 0.000000
0.208740 30.0 602 16376 226448 1260 3782221373 16978 0.000000 0.000000
0.395508 30.0 545 16503 226692 1053 3782221409 17048 0.000000 0.000000
0.604248 30.0 813 15574 226218 1645 3782221445 16387 0.000000 0.000000
0.802002 30.0 1449 12448 226509 3711 3782221481 13897 0.000000 0.000000
0.999756 30.0 1977 9921 228164 5086 3782221517 11898 0.000000 0.000000
1.197510 30.0 2501 7536 227738 6584 3782221554 10037 0.000000 0.000000
1.384277 30.0 2679 6865 226558 7120 3782221590 9544 0.000000 0.000000
1.614990 30.0 2374 8219 226465 6354 3782221626 10593 0.000000 0.000000
1.801758 30.0 1885 9976 226810 5106 3782221663 11861 0.000000 0.000000
1.999512 30.0 1281 12843 226070 3228 3782221699 14124 0.000000 0.000000
