# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 813 15598 194202 2002 3782632826 16411 0.000000 0.000000
-1.801758 30.0 534 17061 193610 1040 3782632862 17595 0.000000 0.000000
-1.604004 30.0 697 17060 193790 1150 3782632898 17757 0.000000 0.000000
-1.406250 30.0 1180 14726 192115 2478 3782632934 15906 0.000000 0.000000
-1.197510 30.0 1792 12117 191755 4368 3782632971 13909 0.000000 0.000000
-0.999756 30.0 2313 9174 192024 6054 3782633007 11487 0.000000 0.000000
-0.812988 30.0 2610 7562 191767 7130 3782633043 10172 0.000000 0.000000
-0.604248 30.0 2660 7592 191866 7219 3782633079 10252 0.000000 0.000000
-0.395508 30.0 2199 9387 191046 6137 3782633115 11586 0.000000 0.000000
-0.208740 30.0 1623 11751 191966 4480 3782633151 13374 0.000000 0.000000
-0.010986 30.0 1081 14782 191818 2735 3782633188 15863 0.000000 0.000000
0.186768 30.0 606 16726 190911 1262 3782633224 17332 0.000000 0.000000
0.395508 30.0 545 17439 191982 1006 3782633260 17984 0.000000 0.000000
0.604248 30.0 930 15777 191745 1879 3782633296 16707 0.000000 0.000000
0.802002 30.0 1486 13185 193697 3636 3782633333 14671 0.000000 0.000000
1.010742 30.0 2144 10043 192984 5492 3782633369 12187 0.000000 0.000000
1.186523 30.0 2536 7869 192619 7164 3782633405 10405 0.000000 0.000000
1.384277 30.0 2662 7482 192223 7276 3782633441 10144 0.000000 0.000000
1.604004 30.0 2420 8529 191791 6505 3782633478 10949 0.000000 0.000000
1.790771 30.0 1898 10853 192453 5155 3782633514 12751 0.000000 0.000000
1.988525 30.0 1170 13808 192511 3175 3782633550 14978 0.000000 0.000000
