# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 398 7237 372333 10096 3771044630 7635 0.0000000 0.0000000 1.3403320
-0.0858680 60.0 124 7478 371796 10086 3771044757 7602 0.0000000 0.0000000 1.3403320
-0.0717360 60.0 79 7361 371945 10074 3771044885 7440 0.0000000 0.0000000 1.3403320
-0.0646700 60.0 177 7517 372593 10059 3771045012 7694 0.0000000 0.0000000 1.3403320
-0.0505380 60.0 488 7330 372702 10060 3771045139 7818 0.0000000 0.0000000 1.3403320
-0.0364060 60.0 857 7495 373394 10143 3771045267 8352 0.0000000 0.0000000 1.3403320
-0.0222740 60.0 1193 7246 373205 10173 3771045394 8439 0.0000000 0.0000000 1.3403320
-0.0081420 60.0 1223 7344 372749 9856 3771045521 8567 0.0000000 0.0000000 1.3403320
0.0059900 60.0 1010 7466 372790 10140 3771045649 8476 0.0000000 0.0000000 1.3403320
0.0201220 60.0 608 7349 372721 9950 3771045776 7957 0.0000000 0.0000000 1.3403320
0.0342540 60.0 274 7424 372060 9834 3771045903 7698 0.0000000 0.0000000 1.3403320
0.0483860 60.0 58 7354 371894 10028 3771046031 7412 0.0000000 0.0000000 1.3403320
0.0625180 60.0 121 7517 372027 10049 3771046158 7638 0.0000000 0.0000000 1.3403320
0.0766500 60.0 413 7206 372064 10110 3771046286 7619 0.0000000 0.0000000 1.3403320
0.0907820 60.0 910 7408 372675 9909 3771046413 8318 0.0000000 0.0000000 1.3403320
0.1049140 60.0 1153 7417 372277 10092 3771046541 8570 0.0000000 0.0000000 1.3403320
