# chi w_im1 w_im1_err w_im2 w_im2_err
-2.600066457911132556e+00 1.883185700399487850e+00 2.671760019352248383e-01 -1.823105079178950927e+00 2.602649096947376450e-01
-2.159519342253146679e+00 9.408670570870683036e-01 7.478599803396610013e-02 -9.398283984944587610e-01 7.358959308220414108e-02
-1.752860466261158212e+00 6.431582697433314566e-01 4.545783949670446911e-02 -6.026582682766487009e-01 4.445721829383389445e-02
-1.315394099663717231e+00 4.040808978756836867e-01 3.453829367674570577e-02 -3.735182858498084513e-01 3.383668819381611959e-02
-8.409587443397312789e-01 2.639717276868421281e-01 2.944472874717721581e-02 -2.077602295475411143e-01 2.883833087570020562e-02
-4.342998683477437005e-01 1.277646411591291387e-01 2.677283082798845304e-02 -1.090979803546331811e-01 2.626199167181514360e-02
6.247247310243064788e-03 4.868012321653684277e-02 2.601873620940557685e-02 -3.933729870212524654e-02 2.552840689900039844e-02
4.467943629682300521e-01 -1.260088201277313191e-01 2.690902768995040439e-02 1.158104669517590057e-01 2.639917340753569416e-02
8.842607295656714772e-01 -2.640002305372774472e-01 2.962580906143026313e-02 1.958690051302977297e-01 2.900536265380197765e-02
1.358696084889657207e+00 -3.397477125144680588e-01 3.547878617517979949e-02 4.544672577368705224e-01 3.507163165951114603e-02
1.799243200547643973e+00 -6.779549046403523516e-01 4.783379091756122248e-02 6.354954854175312029e-01 4.676342080355918446e-02
2.307566795537628668e+00 -9.894785492667085292e-01 8.541713067437539664e-02 9.368424082948855203e-01 8.324319730472129475e-02
2.680337431863617503e+00 -1.911235444986761456e+00 3.508754961260707739e-01 2.119038194928272389e+00 3.698606716909712544e-01
3.120884547521604269e+00 1.510821702024939706e+00 6.931464407572338615e+00 -3.048694009325877641e+00 1.093555043952699179e+01
3.592239153785044881e+00 2.498612865854002774e+00 4.310044157182962299e-01 -2.132458136266328186e+00 3.860780734571316875e-01
4.032786269443031202e+00 1.065642811181670258e+00 9.011378046522787455e-02 -1.025118595154008494e+00 8.802905267677969825e-02
4.507221624767018042e+00 6.260864134969130745e-01 4.770707146195406895e-02 -6.257696287382549238e-01 4.685925254645405963e-02
4.879992261093006434e+00 4.467797725957922683e-01 3.557071570549244499e-02 -4.068674850807897370e-01 3.482217234936719336e-02
5.354427616416991498e+00 2.580957101233656292e-01 2.976945299784936744e-02 -2.398356562441671391e-01 2.919314052352925057e-02
5.791893983014433367e+00 1.214751657136544094e-01 2.713265572267968204e-02 -1.384475940822503248e-01 2.663136904810319699e-02
6.232441098672421020e+00 -5.158115781320370824e-03 2.641387025629821778e-02 -2.155195017858011625e-02 2.591830762431161436e-02
6.672988214330406009e+00 -7.376608433046033531e-02 2.663303347279977543e-02 1.024003813391305417e-01 2.614184320848467191e-02
