# chi w_re1 w_re1_err w_re2 w_re2_err
-2.600066457911132556e+00 9.690833576274180405e-01 1.610505152182988564e-01 -2.396847782350608469e-03 1.539459125405649720e-01
-2.159519342253146679e+00 6.556902987345856193e-01 6.309553760759019359e-02 2.313826829037620991e-01 5.983604856714069137e-02
-1.752860466261158212e+00 4.930979992972717163e-01 4.426616926195905966e-02 4.669197080576342751e-01 4.471247649846447902e-02
-1.315394099663717231e+00 5.944967815218530349e-01 4.004482403375728833e-02 4.565566072359276695e-01 3.902322887832228304e-02
-8.409587443397312789e-01 5.293425593649813132e-01 4.405848193681423386e-02 4.216402390972809333e-01 4.283245747128620884e-02
-4.342998683477437005e-01 4.918908285345502396e-01 8.857247821120660392e-02 4.681841706434664019e-01 9.386253131702226860e-02
6.247247310243064788e-03 4.034933800133631010e-01 6.575168943209952488e+00 3.666474942089393618e+00 1.042279357779968052e+01
4.467943629682300521e-01 6.185953214854937876e-01 1.078817237123263079e-01 4.609888521039329223e-01 9.610105926494988404e-02
8.842607295656714772e-01 5.543667232887264928e-01 4.573342902168751889e-02 4.579545100200337893e-01 4.461001988227780019e-02
1.358696084889657207e+00 5.553279897725076353e-01 4.068160671018750119e-02 4.498407847186889352e-01 4.001376338030551705e-02
1.799243200547643973e+00 6.484093108573247832e-01 4.728230539911992825e-02 4.238757099219007118e-01 4.597886875962930303e-02
2.307566795537628668e+00 7.122015435895749924e-01 7.080193587185847071e-02 3.371769309242852453e-01 6.875688224862476494e-02
2.680337431863617503e+00 1.108785613894394562e+00 2.254296569550581220e-01 1.309848395211521410e-02 2.427778170059015916e-01
3.120884547521604269e+00 -1.016636460210033022e+01 4.482554916914989462e+01 2.206110529085503202e+01 8.195563924083920426e+01
3.592239153785044881e+00 1.091547913827580762e+00 2.085664915927734342e-01 -1.503837645223634056e-01 2.238179943914296866e-01
4.032786269443031202e+00 7.330119642299439686e-01 7.200859563800159069e-02 2.414779458620553432e-01 6.731538998281273722e-02
4.507221624767018042e+00 5.034559911182707737e-01 4.575906487199594974e-02 4.798639743293548476e-01 4.633447672800881934e-02
4.879992261093006434e+00 6.373217742452451651e-01 4.300992965646013855e-02 4.889426633041323855e-01 4.190009932758598232e-02
5.354427616416991498e+00 5.477064053262835630e-01 4.615393291169370832e-02 4.402610559401766155e-01 4.486411516334092714e-02
5.791893983014433367e+00 5.463572514905111754e-01 1.010470228970636736e-01 5.307717554086276435e-01 1.071864649432813787e-01
6.232441098672421020e+00 -3.003309102665815411e-01 1.341371516592823721e+00 -6.344949149629831586e-01 2.136585417976069046e+00
6.672988214330406009e+00 5.733138358626436171e-01 1.014833304134962338e-01 4.329367265302704881e-01 9.045790796253445898e-02
