# chi w_im1 w_im1_err w_im2 w_im2_err
-2.480314609926469682e+00 1.736410772035842376e+00 1.805273027072905323e-01 -1.407634641911554629e+00 1.648570912286889123e-01
-2.079400209455274595e+00 8.686801185117065671e-01 6.663983900011848094e-02 -7.192039684398622290e-01 6.422542689204673028e-02
-1.578257208866281402e+00 4.836250754041604982e-01 4.370087212456465892e-02 -4.403366056932417338e-01 4.277036139858744757e-02
-1.180380038701686285e+00 3.106322618110708422e-01 3.367928064228829788e-02 -2.717529226242830775e-01 3.299923659971194800e-02
-7.460561048578924215e-01 1.433821608736962350e-01 2.970539503213327770e-02 -1.784972494884429772e-01 2.916958062998096027e-02
-3.117321710140976698e-01 8.097979767515421645e-02 2.776335824472738259e-02 -9.049044117782463481e-02 2.724464277366481224e-02
8.918222945709697314e-02 -3.639871922151739769e-02 2.728498068847730329e-02 -2.204567747796782815e-02 2.677084651936299450e-02
4.900966299282920602e-01 -1.563904200426605995e-01 2.821635036550991515e-02 1.575661281195340213e-01 2.768732805060006644e-02
9.882024002106857274e-01 -2.800732065994270270e-01 3.197290018514115095e-02 2.176756692363963630e-01 3.130916266495643863e-02
1.422526334054480035e+00 -3.466354138584577527e-01 3.830075438703816476e-02 3.308208202988802138e-01 3.755991449219184264e-02
1.856850267898274565e+00 -6.621463090306710653e-01 5.343002435066015327e-02 5.871269380572563534e-01 5.208755067041811321e-02
2.291174201742069094e+00 -9.522886876166377634e-01 9.779900798818655372e-02 9.378496288410173021e-01 9.600663208794436854e-02
2.725498135585863402e+00 -2.091640081659982719e+00 3.526848985915987944e-01 1.899704106069435516e+00 3.323409349772788457e-01
3.193231602802257374e+00 -2.050487289555666948e+00 1.803702050587130401e+00 1.158592688647077207e+00 1.396273650252728871e+00
3.624518306339451712e+00 2.141159962009342888e+00 4.068688835170205520e-01 -2.192993875056670205e+00 4.090681196101437211e-01
4.025432706810646799e+00 1.053599575690429724e+00 9.235641500786838376e-02 -9.033002355265254968e-01 8.859384450236432174e-02
4.493166174027040327e+00 6.074827072894694036e-01 5.075671172741683113e-02 -6.466213845737124322e-01 5.004287701745135930e-02
4.927490107870835523e+00 4.642039673413622669e-01 3.743175715219435734e-02 -3.594856711235917546e-01 3.651597371751679616e-02
5.328404508342030610e+00 2.655944314240511472e-01 3.153886676536929445e-02 -2.419191609872753113e-01 3.092380450922480040e-02
5.759691211879224504e+00 8.002841123934113787e-02 2.819670036833560670e-02 -1.501505015319938852e-01 2.769593409516777141e-02
6.194015145723019700e+00 -5.269021215547880360e-02 2.731692361981364475e-02 2.943879884719470888e-02 2.680037460273061375e-02
6.661748612939412340e+00 -8.207973463575438111e-02 2.806491448859776972e-02 2.243771503834662145e-02 2.752657137394776479e-02
