# chi w_re1 w_re1_err w_re2 w_re2_err
-2.480314609926469682e+00 8.552331638027472760e-01 1.123761131247830169e-01 1.957989649636332485e-01 1.102257583673037222e-01
-2.079400209455274595e+00 6.011815852204093202e-01 5.759036079058339752e-02 2.604679365911156119e-01 5.538067393367333835e-02
-1.578257208866281402e+00 4.471644095843083644e-01 4.376195693076441462e-02 3.099416313310423554e-01 4.286785422870900697e-02
-1.180380038701686285e+00 5.224614800794781244e-01 4.015164290647833117e-02 3.866256143439184556e-01 3.894322089682868832e-02
-7.460561048578924215e-01 4.583086284397984711e-01 4.625264570283699889e-02 3.903502283498416769e-01 4.541533860256217331e-02
-3.117321710140976698e-01 5.677927730835187203e-01 9.627794422373495142e-02 4.464150255939869361e-01 9.042026672387268316e-02
8.918222945709697314e-02 -3.060949436115576461e-01 3.269658330302937510e-01 -1.708025015832408677e-01 2.511397250411961934e-01
4.900966299282920602e-01 5.363882692945363129e-01 9.971926485701308740e-02 4.619403383930107410e-01 1.004520386009425392e-01
9.882024002106857274e-01 5.696840063490870021e-01 4.862641412017335019e-02 4.174067354799183560e-01 4.623300823547672050e-02
1.422526334054480035e+00 5.474665092124766375e-01 4.367679688662913506e-02 4.910925738444530397e-01 4.328830849558446686e-02
1.856850267898274565e+00 6.942786735769229667e-01 5.222288059512876501e-02 3.891591696915095433e-01 4.991112320667324964e-02
2.291174201742069094e+00 7.426279451642953111e-01 7.941574074572300967e-02 3.653078053304090744e-01 7.676089019651731460e-02
2.725498135585863402e+00 1.023209435736716966e+00 1.906422464946240236e-01 5.340607532678276481e-02 2.341002042473009359e-01
3.193231602802257374e+00 -3.712117269534818575e+00 5.484936993272016892e+00 3.708224259545319867e+00 3.953728251694435425e+00
3.624518306339451712e+00 9.821727614541888585e-01 2.091828618455360278e-01 -5.064506100085789386e-01 1.752079000260116370e-01
4.025432706810646799e+00 7.714883892547235167e-01 7.748224727360766839e-02 3.111059210735811487e-01 7.307029068466844302e-02
4.493166174027040327e+00 5.159468659993491357e-01 4.999312609755598297e-02 3.296644229954748262e-01 4.895815798797800711e-02
4.927490107870835523e+00 6.003052168550419010e-01 4.540205973617256197e-02 4.300598047895026754e-01 4.398871323433409947e-02
5.328404508342030610e+00 5.445125943058581885e-01 5.408694806005402006e-02 4.563553514062854699e-01 5.310912620272277562e-02
5.759691211879224504e+00 6.160225033402142447e-01 1.078970710719032305e-01 5.017581321162124519e-01 1.012230820433398376e-01
6.194015145723019700e+00 2.071899367450935336e-01 2.582137520392162044e-01 2.031901883766391859e-01 1.993868367541347664e-01
6.661748612939412340e+00 4.873537227672527505e-01 9.247232204876403017e-02 4.618261286508714702e-01 9.312326683288242590e-02
