# chi cos2 cos2err
-1.504999999999999893e+00 2.209982901135302200e+03 1.489850242197387047e+02
-1.372999999999999998e+00 6.071982901135302200e+03 1.614265698135103264e+02
-1.207999999999999963e+00 1.049798290113530311e+04 1.745982171780574674e+02
-1.076999999999999957e+00 1.555698290113530311e+04 1.885299377864325550e+02
-9.340000000000000524e-01 1.896798290113530311e+04 1.973690387111315090e+02
-7.910000000000000364e-01 2.121998290113530311e+04 2.029939344949895883e+02
-6.590000000000000302e-01 2.184298290113530311e+04 2.045227064209647381e+02
-5.270000000000000240e-01 2.068698290113530311e+04 2.016768143385752126e+02
-3.629999999999999893e-01 1.689998290113530311e+04 1.920586822868368131e+02
-2.200000000000000011e-01 1.270498290113530311e+04 1.808080126591632109e+02
-7.699999999999999900e-02 7.982982901135302200e+03 1.672409562330834092e+02
6.600000000000000311e-02 3.747982901135302200e+03 1.540601747427157875e+02
2.089999999999999913e-01 1.171982901135302200e+03 1.454597450903724507e+02
3.629999999999999893e-01 2.149829011353021997e+02 1.421321126338313547e+02
5.050000000000000044e-01 1.020982901135302200e+03 1.449397717735064077e+02
6.370000000000000107e-01 4.116982901135302200e+03 1.552531398772859745e+02
7.910000000000000364e-01 8.531982901135303109e+03 1.688743244005912345e+02
9.340000000000000524e-01 1.331198290113530311e+04 1.824788684800410579e+02
1.066000000000000059e+00 1.726898290113530311e+04 1.930169356345606388e+02
1.207999999999999963e+00 2.067098290113530311e+04 2.016371430112917551e+02
1.350999999999999979e+00 2.180298290113530311e+04 2.044248943787329438e+02
1.504999999999999893e+00 2.083598290113530311e+04 2.020458795465924027e+02
