# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
0.010986 10.0 134 1777 234793 274 3782109558 1911 0.000000 0.000000
0.186768 10.0 112 1976 234313 127 3782109605 2088 0.000000 0.000000
0.395508 10.0 111 1859 234359 203 3782109653 1970 0.000000 0.000000
0.593262 10.0 156 1605 234934 327 3782109700 1761 0.000000 0.000000
0.791016 10.0 192 1379 234912 525 3782109747 1571 0.000000 0.000000
0.999756 10.0 288 1153 234223 729 3782109794 1441 0.000000 0.000000
1.197510 10.0 346 910 235357 863 3782109842 1256 0.000000 0.000000
1.395264 10.0 323 918 233941 832 3782109889 1241 0.000000 0.000000
1.593018 10.0 272 1120 234800 687 3782109936 1392 0.000000 0.000000
1.790771 10.0 167 1429 234155 454 3782109984 1596 0.000000 0.000000
1.999512 10.0 120 1669 234514 322 3782110031 1789 0.000000 0.000000
2.186279 10.0 98 1967 234782 177 3782110078 2065 0.000000 0.000000
2.395020 10.0 100 1927 234528 145 3782110125 2027 0.000000 0.000000
2.592773 10.0 142 1805 234068 268 3782110173 1947 0.000000 0.000000
2.812500 10.0 206 1461 234509 470 3782110220 1667 0.000000 0.000000
2.999268 10.0 247 1116 234735 694 3782110267 1363 0.000000 0.000000
3.197021 10.0 286 941 234314 853 3782110315 1227 0.000000 0.000000
3.394775 10.0 278 930 234452 822 3782110362 1208 0.000000 0.000000
3.592529 10.0 270 1118 234586 722 3782110409 1388 0.000000 0.000000
3.801270 10.0 191 1378 235093 518 3782110457 1569 0.000000 0.000000
3.999023 10.0 125 1745 234948 341 3782110504 1870 0.000000 0.000000
