* begin:	06/09/2023 17:39:18
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_S2.cfg
*
* no cfg file, sc file created manually
* 0	1.9995117	10.0	997	2341	59693	2008	3776859613	3338	0.0000000	0.0000000
* Date: 06/09/2023	Time: 17:40
* Pulsetime (탎):0.000003	Looptime (탎): 404.000000	BinWidth (탎): 3.000000	BinCount: 135	measured time (s): 51.133000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	51.13	10	4
1	3.00	51.13	10	15
2	6.00	51.13	7	18
3	9.00	51.13	7	14
4	12.00	51.13	7	9
5	15.00	51.13	5	10
6	18.00	51.13	4	18
7	21.00	51.13	5	14
8	24.00	51.13	3	10
9	27.00	51.13	8	20
10	30.00	51.13	5	7
11	33.00	51.13	3	12
12	36.00	51.13	3	13
13	39.00	51.13	8	13
14	42.00	51.13	2	8
15	45.00	51.13	7	9
16	48.00	51.13	5	6
17	51.00	51.13	7	8
18	54.00	51.13	16	7
19	57.00	51.13	8	8
20	60.00	51.13	6	6
21	63.00	51.13	2	3
22	66.00	51.13	5	9
23	69.00	51.13	7	10
24	72.00	51.13	4	9
25	75.00	51.13	1	14
26	78.00	51.13	2	12
27	81.00	51.13	5	24
28	84.00	51.13	12	26
29	87.00	51.13	8	23
30	90.00	51.13	7	23
31	93.00	51.13	8	28
32	96.00	51.13	17	33
33	99.00	51.13	12	24
34	102.00	51.13	18	29
35	105.00	51.13	15	23
36	108.00	51.13	16	23
37	111.00	51.13	11	21
38	114.00	51.13	11	17
39	117.00	51.13	10	11
40	120.00	51.13	9	7
41	123.00	51.13	13	7
42	126.00	51.13	11	7
43	129.00	51.13	5	8
44	132.00	51.13	9	4
45	135.00	51.13	1	4
46	138.00	51.13	7	6
47	141.00	51.13	3	10
48	144.00	51.13	6	10
49	147.00	51.13	4	13
50	150.00	51.13	6	11
51	153.00	51.13	3	19
52	156.00	51.13	3	22
53	159.00	51.13	7	14
54	162.00	51.13	10	12
55	165.00	51.13	9	12
56	168.00	51.13	8	12
57	171.00	51.13	11	7
58	174.00	51.13	7	8
59	177.00	51.13	11	5
60	180.00	51.13	15	7
61	183.00	51.13	10	8
62	186.00	51.13	8	8
63	189.00	51.13	12	5
64	192.00	51.13	11	8
65	195.00	51.13	7	14
66	198.00	51.13	7	18
67	201.00	51.13	5	21
68	204.00	51.13	1	34
69	207.00	51.13	6	39
70	210.00	51.13	3	44
71	213.00	51.13	7	52
72	216.00	51.13	3	43
73	219.00	51.13	14	39
74	222.00	51.13	5	31
75	225.00	51.13	13	33
76	228.00	51.13	12	20
77	231.00	51.13	7	15
78	234.00	51.13	7	6
79	237.00	51.13	8	4
80	240.00	51.13	5	8
81	243.00	51.13	2	13
82	246.00	51.13	6	15
83	249.00	51.13	3	8
84	252.00	51.13	11	10
85	255.00	51.13	7	5
86	258.00	51.13	8	5
87	261.00	51.13	7	11
88	264.00	51.13	11	8
89	267.00	51.13	3	10
90	270.00	51.13	7	23
91	273.00	51.13	4	24
92	276.00	51.13	8	30
93	279.00	51.13	5	26
94	282.00	51.13	10	19
95	285.00	51.13	9	36
96	288.00	51.13	6	32
97	291.00	51.13	9	36
98	294.00	51.13	11	27
99	297.00	51.13	3	16
100	300.00	51.13	6	17
101	303.00	51.13	3	8
102	306.00	51.13	10	3
103	309.00	51.13	7	2
104	312.00	51.13	7	1
105	315.00	51.13	8	7
106	318.00	51.13	10	9
107	321.00	51.13	10	8
108	324.00	51.13	5	10
109	327.00	51.13	5	14
110	330.00	51.13	5	16
111	333.00	51.13	4	15
112	336.00	51.13	4	18
113	339.00	51.13	7	11
114	342.00	51.13	13	16
115	345.00	51.13	7	9
116	348.00	51.13	6	14
117	351.00	51.13	4	12
118	354.00	51.13	5	9
119	357.00	51.13	4	5
120	360.00	51.13	2	19
121	363.00	51.13	3	17
122	366.00	51.13	3	13
123	369.00	51.13	10	14
124	372.00	51.13	7	13
125	375.00	51.13	1	13
126	378.00	51.13	7	12
127	381.00	51.13	9	9
128	384.00	51.13	12	9
129	387.00	51.13	10	13
130	390.00	51.13	9	21
131	393.00	51.13	12	14
132	396.00	51.13	17	12
133	399.00	51.13	8	11
134	402.00	51.13	8	13
* stopped by user: 06/09/2023 17:40:13
