* begin:	05/09/2023 13:02:56
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1_ifg.cfg
*
* no cfg file, sc file created manually
* 0	2.9992676	20.0	40091	4343	127939	88824	3776757779	44434	0.0000000	0.0000000
* Date: 05/09/2023	Time: 13:23
* Pulsetime (탎):0.000003	Looptime (탎): 401.000000	BinWidth (탎): 3.000000	BinCount: 134	measured time (s): 1200.014000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1200.01	153	327
1	3.00	1200.01	290	652
2	6.00	1200.01	286	634
3	9.00	1200.01	271	636
4	12.00	1200.01	290	636
5	15.00	1200.01	298	612
6	18.00	1200.01	289	641
7	21.00	1200.01	309	601
8	24.00	1200.01	308	645
9	27.00	1200.01	282	666
10	30.00	1200.01	318	641
11	33.00	1200.01	292	653
12	36.00	1200.01	301	637
13	39.00	1200.01	308	646
14	42.00	1200.01	328	659
15	45.00	1200.01	293	662
16	48.00	1200.01	315	658
17	51.00	1200.01	325	704
18	54.00	1200.01	318	695
19	57.00	1200.01	307	712
20	60.00	1200.01	326	737
21	63.00	1200.01	288	708
22	66.00	1200.01	311	723
23	69.00	1200.01	285	710
24	72.00	1200.01	305	719
25	75.00	1200.01	306	690
26	78.00	1200.01	315	705
27	81.00	1200.01	307	671
28	84.00	1200.01	279	703
29	87.00	1200.01	309	629
30	90.00	1200.01	300	639
31	93.00	1200.01	281	592
32	96.00	1200.01	316	597
33	99.00	1200.01	315	635
34	102.00	1200.01	307	637
35	105.00	1200.01	311	622
36	108.00	1200.01	296	642
37	111.00	1200.01	316	628
38	114.00	1200.01	298	614
39	117.00	1200.01	308	629
40	120.00	1200.01	324	637
41	123.00	1200.01	306	646
42	126.00	1200.01	290	684
43	129.00	1200.01	297	640
44	132.00	1200.01	282	744
45	135.00	1200.01	273	694
46	138.00	1200.01	260	724
47	141.00	1200.01	287	710
48	144.00	1200.01	328	697
49	147.00	1200.01	291	725
50	150.00	1200.01	293	717
51	153.00	1200.01	310	698
52	156.00	1200.01	317	665
53	159.00	1200.01	308	710
54	162.00	1200.01	328	679
55	165.00	1200.01	300	691
56	168.00	1200.01	316	632
57	171.00	1200.01	324	647
58	174.00	1200.01	302	643
59	177.00	1200.01	316	610
60	180.00	1200.01	302	670
61	183.00	1200.01	274	655
62	186.00	1200.01	290	627
63	189.00	1200.01	297	636
64	192.00	1200.01	297	678
65	195.00	1200.01	286	656
66	198.00	1200.01	302	699
67	201.00	1200.01	311	651
68	204.00	1200.01	274	646
69	207.00	1200.01	277	632
70	210.00	1200.01	278	694
71	213.00	1200.01	261	648
72	216.00	1200.01	299	716
73	219.00	1200.01	312	648
74	222.00	1200.01	295	655
75	225.00	1200.01	277	634
76	228.00	1200.01	294	659
77	231.00	1200.01	297	652
78	234.00	1200.01	257	653
79	237.00	1200.01	297	627
80	240.00	1200.01	286	655
81	243.00	1200.01	294	605
82	246.00	1200.01	334	721
83	249.00	1200.01	279	698
84	252.00	1200.01	294	682
85	255.00	1200.01	264	725
86	258.00	1200.01	304	714
87	261.00	1200.01	302	720
88	264.00	1200.01	310	688
89	267.00	1200.01	319	723
90	270.00	1200.01	312	692
91	273.00	1200.01	328	667
92	276.00	1200.01	260	680
93	279.00	1200.01	300	772
94	282.00	1200.01	323	724
95	285.00	1200.01	316	639
96	288.00	1200.01	287	637
97	291.00	1200.01	313	615
98	294.00	1200.01	302	646
99	297.00	1200.01	284	584
100	300.00	1200.01	298	627
101	303.00	1200.01	274	600
102	306.00	1200.01	302	629
103	309.00	1200.01	282	599
104	312.00	1200.01	351	598
105	315.00	1200.01	307	625
106	318.00	1200.01	318	644
107	321.00	1200.01	297	649
108	324.00	1200.01	297	680
109	327.00	1200.01	273	629
110	330.00	1200.01	293	730
111	333.00	1200.01	305	717
112	336.00	1200.01	307	713
113	339.00	1200.01	291	684
114	342.00	1200.01	280	698
115	345.00	1200.01	295	692
116	348.00	1200.01	296	719
117	351.00	1200.01	287	651
118	354.00	1200.01	321	707
119	357.00	1200.01	292	728
120	360.00	1200.01	316	695
121	363.00	1200.01	301	717
122	366.00	1200.01	301	652
123	369.00	1200.01	297	684
124	372.00	1200.01	336	659
125	375.00	1200.01	274	631
126	378.00	1200.01	324	642
127	381.00	1200.01	326	669
128	384.00	1200.01	314	642
129	387.00	1200.01	310	645
130	390.00	1200.01	298	607
131	393.00	1200.01	291	593
132	396.00	1200.01	298	662
133	399.00	1200.01	297	641
* end: 05/09/2023 13:23:01
