# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 158 6672 668958 7890 3764479911 6830 0.0000000 0.0000000 110.0996090 12.5250000
-1.5000000 60.0 161 7020 687151 7725 3764479976 7181 0.0000000 0.0000000 110.0996090 12.5250000
-1.2500000 60.0 661 6929 646149 7974 3764480040 7590 0.0000000 0.0000000 110.0996090 12.5250000
-1.0000000 60.0 1224 7138 623178 7914 3764480104 8362 0.0000000 0.0000000 110.0996090 12.5250000
-0.7500000 60.0 1893 6971 619369 7868 3764480168 8864 0.0000000 0.0000000 110.0996090 12.5250000
-0.5000000 60.0 2096 6916 706445 7985 3764480233 9012 0.0000000 0.0000000 110.0996090 12.5250000
-0.2500000 60.0 1699 6916 679578 7852 3764480297 8615 0.0000000 0.0000000 110.0996090 12.5250000
0.0000000 60.0 1168 7203 641578 7847 3764480361 8371 0.0000000 0.0000000 110.0996090 12.5250000
0.2500000 60.0 530 6925 612844 7860 3764480425 7455 0.0000000 0.0000000 110.0996090 12.5250000
0.5000000 60.0 136 6827 679351 7829 3764480490 6963 0.0000000 0.0000000 110.0996090 12.5250000
0.7500000 60.0 210 7225 694004 7755 3764480554 7435 0.0000000 0.0000000 110.0996090 12.5250000
1.0000000 60.0 656 7026 698907 7914 3764480618 7682 0.0000000 0.0000000 110.0996090 12.5250000
1.2500000 60.0 1294 7138 711735 7855 3764480682 8432 0.0000000 0.0000000 110.0996090 12.5250000
1.5000000 60.0 1744 7178 692488 7927 3764480747 8922 0.0000000 0.0000000 110.0996090 12.5250000
1.7500000 60.0 2061 6939 700722 7898 3764480811 9000 0.0000000 0.0000000 110.0996090 12.5250000
