# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 95 5107 673247 7968 3764213442 5202 0.0000000 0.0000000 109.7250980 11.6406250
-1.5000000 60.0 231 5071 633351 8061 3764213506 5302 0.0000000 0.0000000 109.7250980 11.6406250
-1.2500000 60.0 683 5031 617709 7977 3764213570 5714 0.0000000 0.0000000 109.7250980 11.6406250
-1.0000000 60.0 1273 5161 614444 8053 3764213635 6434 0.0000000 0.0000000 109.7250980 11.6406250
-0.7500000 60.0 1785 5060 628752 8039 3764213699 6845 0.0000000 0.0000000 109.7250980 11.6406250
-0.5000000 60.0 1851 4971 680871 7941 3764213763 6822 0.0000000 0.0000000 109.7250980 11.6406250
-0.2500000 60.0 1513 5140 639657 8009 3764213827 6653 0.0000000 0.0000000 109.7250980 11.6406250
0.0000000 60.0 922 5190 646058 8049 3764213892 6112 0.0000000 0.0000000 109.7250980 11.6406250
0.2500000 60.0 378 5110 600567 8146 3764213956 5488 0.0000000 0.0000000 109.7250980 11.6406250
0.5000000 60.0 86 5295 640172 7907 3764214020 5381 0.0000000 0.0000000 109.7250980 11.6406250
0.7500000 60.0 235 5047 668830 8068 3764214084 5282 0.0000000 0.0000000 109.7250980 11.6406250
1.0000000 60.0 713 5019 693769 8085 3764214148 5732 0.0000000 0.0000000 109.7250980 11.6406250
1.2500000 60.0 1260 5292 690813 8036 3764214213 6552 0.0000000 0.0000000 109.7250980 11.6406250
1.5000000 60.0 1734 5218 687175 8069 3764214277 6952 0.0000000 0.0000000 109.7250980 11.6406250
1.7500000 60.0 1863 5074 661662 8022 3764214341 6937 0.0000000 0.0000000 109.7250980 11.6406250
