# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 115 5746 623024 7927 3764159317 5861 0.0000000 0.0000000 107.9941410 59.2656250
-1.5000000 60.0 146 5819 625745 7942 3764159381 5965 0.0000000 0.0000000 107.9941410 59.2656250
-1.2500000 60.0 530 5658 622377 8123 3764159445 6188 0.0000000 0.0000000 107.9941410 59.2656250
-1.0000000 60.0 1111 5786 621837 7978 3764159510 6897 0.0000000 0.0000000 107.9941410 59.2656250
-0.7500000 60.0 1514 5812 628829 8099 3764159574 7326 0.0000000 0.0000000 107.9941410 59.2656250
-0.5000000 60.0 1671 5678 627095 8010 3764159638 7349 0.0000000 0.0000000 107.9941410 59.2656250
-0.2500000 60.0 1375 5759 628561 7999 3764159702 7134 0.0000000 0.0000000 107.9941410 59.2656250
0.0000000 60.0 924 5630 625946 7902 3764159766 6554 0.0000000 0.0000000 107.9941410 59.2656250
0.2500000 60.0 381 5694 628594 7891 3764159830 6075 0.0000000 0.0000000 107.9941410 59.2656250
0.5000000 60.0 102 5663 627435 7950 3764159895 5765 0.0000000 0.0000000 107.9941410 59.2656250
0.7500000 60.0 152 5642 623608 7951 3764159959 5794 0.0000000 0.0000000 107.9941410 59.2656250
1.0000000 60.0 507 5793 624243 8034 3764160023 6300 0.0000000 0.0000000 107.9941410 59.2656250
1.2500000 60.0 1097 5636 629219 7926 3764160087 6733 0.0000000 0.0000000 107.9941410 59.2656250
1.5000000 60.0 1569 5721 625929 7879 3764160151 7290 0.0000000 0.0000000 107.9941410 59.2656250
1.7500000 60.0 1638 5713 624215 7936 3764160215 7351 0.0000000 0.0000000 107.9941410 59.2656250
