*Begin rocking: 07/03/2023 08:58:08
*Points: 0
*
*notes: 
*Rho-Axis: 9.180
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.6735100	10	222	1460	143727	1116	1682
         1	1.6735600	10	211	1512	138715	1055	1723
         2	1.6736000	10	194	1486	141588	1073	1680
         3	1.6736500	10	149	1488	141402	1017	1637
         4	1.6737000	10	143	1222	139685	972	1365
         5	1.6737500	10	99	1103	141205	881	1202
         6	1.6738000	10	81	981	140217	794	1062
         7	1.6738500	10	62	887	139514	746	949
         8	1.6739100	10	50	731	140279	658	781
         9	1.6739500	10	47	621	141168	635	668
        10	1.6740000	10	22	504	140934	521	526
        11	1.6740500	10	15	469	139091	416	484
        12	1.6741000	10	15	474	140582	431	489
        13	1.6741600	10	6	451	143442	480	457
        14	1.6742000	10	13	490	152102	497	503
        15	1.6742500	10	8	532	152587	488	540
        16	1.6742900	10	9	491	151306	458	500
        17	1.6743500	10	17	520	152379	548	537
        18	1.6744100	10	24	542	140950	550	566
        19	1.6744500	10	30	601	148328	630	631
        20	1.6745000	10	31	667	148427	753	698
        21	1.6745600	10	36	870	149052	798	906
        22	1.6746000	10	69	995	147391	895	1064
        23	1.6746500	10	71	1120	147968	965	1191
        24	1.6747100	10	81	1293	147550	1033	1374
        25	1.6747500	10	87	1436	147208	1093	1523
        26	1.6748200	10	84	1598	147587	1086	1682
        27	1.6748500	10	73	1685	146804	1098	1758
        28	1.6749100	10	64	1552	145756	1071	1616
        29	1.6749600	10	58	1409	145431	985	1467
        30	1.6750000	10	66	1249	148052	978	1315
        31	1.6750600	10	51	1042	140255	810	1093
        32	1.6751000	10	43	910	157941	730	953
        33	1.6751400	10	20	809	157494	710	829
        34	1.6752000	10	25	613	156993	553	638
        35	1.6752500	10	16	536	157980	435	552
        36	1.6753000	10	17	414	159169	376	431
        37	1.6753500	10	7	358	157851	364	365
        38	1.6754000	10	7	310	159129	327	317
        39	1.6754500	10	8	286	157723	262	294
        40	1.6755000	10	3	207	157942	240	210
        41	1.6755500	10	4	204	158759	188	208
        42	1.6756100	10	0	186	156761	160	186
        43	1.6756600	10	3	158	158846	173	161
        44	1.6757100	10	1	161	150402	151	162
        45	1.6757500	10	0	130	172617	115	130
        46	1.6758100	10	1	133	170595	111	134
        47	1.6758500	10	2	108	169577	90	110
        48	1.6758900	10	1	84	171692	105	85
        49	1.6759600	10	0	100	172190	82	100
        50	1.6760100	10	0	86	171180	80	86
*stopped by user: 07/03/2023 09:08:03
