*Begin rocking: 02/04/2023 12:16:03
*Points: 0
*
*notes: 
*Rho-Axis: 9.240
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.6719900	10	2	273	108372	2	275
         1	1.6720600	10	9	321	110608	1	330
         2	1.6721100	10	10	339	109981	3	349
         3	1.6721600	10	7	379	108131	4	386
         4	1.6722000	10	4	464	101746	0	468
         5	1.6722500	10	31	512	102086	2	543
         6	1.6723100	10	31	607	95144	3	638
         7	1.6723400	10	32	680	97992	2	712
         8	1.6724100	10	56	768	99504	1	824
         9	1.6724500	10	67	857	99330	1	924
        10	1.6725000	10	95	897	94896	1	992
        11	1.6725500	10	133	899	99763	0	1032
        12	1.6726000	10	147	937	96867	0	1084
        13	1.6726500	10	178	938	99692	1	1116
        14	1.6727000	10	176	978	97042	1	1154
        15	1.6727600	10	182	932	98126	1	1114
        16	1.6728000	10	173	862	98408	4	1035
        17	1.6728600	10	205	894	97776	1	1099
        18	1.6729000	10	141	842	99939	2	983
        19	1.6729500	10	113	881	98126	0	994
        20	1.6730000	10	82	856	99114	2	938
        21	1.6730500	10	84	875	101131	1	959
        22	1.6731000	10	60	750	99565	2	810
        23	1.6731600	10	30	746	97884	2	776
        24	1.6732000	10	31	649	99486	1	680
        25	1.6732500	10	13	543	100184	1	556
        26	1.6732900	10	16	558	96011	4	574
        27	1.6733600	10	6	611	107567	2	617
        28	1.6734100	10	4	610	111047	2	614
        29	1.6734600	10	6	649	112364	4	655
        30	1.6735100	10	5	656	111859	2	661
        31	1.6735600	10	2	615	111837	1	617
        32	1.6736000	10	6	620	112677	1	626
        33	1.6736500	10	3	717	111149	2	720
        34	1.6737100	10	5	755	112864	0	760
        35	1.6737500	10	4	827	102928	1	831
        36	1.6738000	10	1	894	100303	1	895
        37	1.6738600	10	2	956	99277	3	958
        38	1.6739000	10	1	916	111505	2	917
        39	1.6739600	10	6	965	112602	1	971
        40	1.6740100	10	2	968	112856	0	970
        41	1.6740600	10	6	946	111154	1	952
        42	1.6741000	10	2	897	111927	2	899
        43	1.6741500	10	8	831	111866	5	839
        44	1.6742000	10	3	836	112174	1	839
        45	1.6742600	10	1	810	112459	2	811
        46	1.6743000	10	2	769	113941	1	771
        47	1.6743500	10	2	767	111204	1	769
        48	1.6744000	10	1	650	112039	1	651
        49	1.6744500	10	1	545	112649	3	546
        50	1.6745000	10	2	478	111315	2	480
        51	1.6745500	10	0	465	112537	1	465
        52	1.6746000	10	1	406	112274	0	407
        53	1.6746600	10	1	339	112832	2	340
        54	1.6747000	10	1	314	112031	0	315
        55	1.6747500	10	1	289	112309	2	290
        56	1.6748000	10	1	258	111201	2	259
        57	1.6748500	10	1	228	111080	0	229
        58	1.6749000	10	0	218	113191	2	218
        59	1.6749600	10	2	177	112189	1	179
        60	1.6750000	10	1	143	113436	0	144
        61	1.6750600	10	1	152	111634	1	153
        62	1.6750900	10	1	142	110397	1	143
        63	1.6751500	10	0	104	112028	3	104
        64	1.6752000	10	0	113	112614	1	113
        65	1.6752500	10	0	95	113284	0	95
        66	1.6753100	10	0	97	112442	3	97
        67	1.6753500	10	0	105	112484	2	105
        68	1.6754100	10	1	75	112998	0	76
        69	1.6754500	10	0	94	112861	0	94
*stopped by user: 02/04/2023 12:29:47
