*Begin rocking: 02/04/2023 10:17:06
*Points: 0
*
*notes: 
*Rho-Axis: 9.240
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.6719900	10	18	24	99014	336	42
         1	1.6720500	10	14	30	99422	422	44
         2	1.6720900	10	15	43	97774	447	58
         3	1.6721400	10	25	59	100054	508	84
         4	1.6722000	10	37	56	97594	633	93
         5	1.6722500	10	40	111	99446	755	151
         6	1.6723000	10	73	150	98057	784	223
         7	1.6723500	10	93	208	98733	972	301
         8	1.6724100	10	115	350	97785	1178	465
         9	1.6724600	10	151	549	100515	1260	700
        10	1.6724900	10	166	614	98405	1228	780
        11	1.6725500	10	171	792	99812	1367	963
        12	1.6726000	10	195	830	98502	1445	1025
        13	1.6726500	10	198	928	98523	1393	1126
        14	1.6727000	10	174	803	98365	1238	977
        15	1.6727400	10	173	730	99631	1244	903
        16	1.6728000	10	147	495	98795	1129	642
        17	1.6728500	10	117	362	98763	1028	479
        18	1.6729000	10	65	220	99105	954	285
        19	1.6729500	10	65	193	99382	930	258
        20	1.6730000	10	70	231	99684	890	301
        21	1.6730600	10	25	87	99320	707	112
        22	1.6731000	10	24	57	99803	639	81
        23	1.6731600	10	13	38	99214	526	51
        24	1.6732000	10	9	42	99024	554	51
        25	1.6732500	10	7	46	97972	613	53
        26	1.6733000	10	4	95	99978	591	99
        27	1.6733500	10	10	152	98611	600	162
        28	1.6734100	10	6	75	99993	619	81
        29	1.6734400	10	5	46	99755	635	51
        30	1.6735000	10	3	63	98915	670	66
        31	1.6735600	10	3	76	100065	719	79
        32	1.6736100	10	5	139	98950	907	144
        33	1.6736600	10	2	192	98628	1021	194
        34	1.6736900	10	0	257	99874	1013	257
        35	1.6737600	10	3	411	99659	1183	414
        36	1.6738100	10	4	569	97673	1250	573
        37	1.6738600	10	0	745	99478	1341	745
        38	1.6739000	10	2	833	98594	1374	835
        39	1.6739500	10	4	881	99120	1327	885
        40	1.6740000	10	2	865	99129	1316	867
        41	1.6740600	10	0	723	98935	1278	723
        42	1.6741000	10	1	663	100029	1186	664
        43	1.6741500	10	1	462	98983	1044	463
        44	1.6742000	10	1	294	99955	950	295
        45	1.6742500	10	0	192	98635	802	192
        46	1.6743000	10	2	132	99118	755	134
        47	1.6743600	10	3	77	98969	623	80
        48	1.6744100	10	2	66	99957	504	68
        49	1.6744500	10	1	43	99139	448	44
        50	1.6745100	10	1	35	98906	371	36
        51	1.6745500	10	1	25	98828	337	26
        52	1.6746100	10	0	19	100598	304	19
        53	1.6746400	10	1	15	97986	289	16
        54	1.6747200	10	0	14	98808	243	14
        55	1.6747500	10	0	15	98055	215	15
        56	1.6748000	10	1	12	98266	177	13
        57	1.6748600	10	0	14	99142	170	14
        58	1.6749000	10	0	16	100245	169	16
        59	1.6749500	10	1	15	99994	146	16
        60	1.6750000	10	0	9	100273	122	9
        61	1.6750600	10	1	5	98962	135	6
        62	1.6751100	10	0	6	100540	108	6
        63	1.6751600	10	0	6	99985	104	6
        64	1.6752100	10	1	12	99295	96	13
        65	1.6752500	10	0	5	99857	84	5
*stopped by user: 02/04/2023 10:29:56
