*Begin rocking: 28/09/2023 15:13:13
*Points: 0
*
*notes: 
*Rho-Axis: 8.030
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.1460000	5	2	266	32811	42	268
         1	0.1461100	5	7	301	32989	33	308
         2	0.1462100	5	7	333	32724	38	340
         3	0.1463000	5	12	452	33221	31	464
         4	0.1464100	5	13	518	33283	34	531
         5	0.1465000	5	20	631	33334	27	651
         6	0.1466100	5	42	871	33445	47	913
         7	0.1467000	5	93	1024	33348	46	1117
         8	0.1468100	5	159	1328	32936	68	1487
         9	0.1469000	5	302	1815	33282	140	2117
        10	0.1469900	5	570	2599	32833	250	3169
        11	0.1471200	5	829	3987	33246	355	4816
        12	0.1472000	5	1009	4879	33307	430	5888
        13	0.1473000	5	1051	5551	33815	449	6602
        14	0.1474000	5	848	5588	31285	396	6436
        15	0.1475100	5	706	5339	29633	343	6045
        16	0.1476100	5	659	5072	32599	232	5731
        17	0.1477000	5	556	4635	32786	180	5191
        18	0.1478000	5	569	4587	32752	141	5156
        19	0.1479100	5	579	4339	32745	167	4918
        20	0.1480100	5	573	4414	32679	221	4987
        21	0.1481000	5	701	4799	32335	312	5500
        22	0.1482100	5	842	5479	33141	390	6321
        23	0.1483000	5	957	5673	32858	403	6630
        24	0.1484100	5	785	5612	32934	327	6397
        25	0.1485000	5	611	4560	33519	239	5171
        26	0.1486000	5	415	3328	33078	181	3743
        27	0.1487100	5	297	2226	32920	121	2523
        28	0.1488100	5	143	1483	32428	83	1626
        29	0.1489200	5	73	1060	32674	45	1133
        30	0.1490000	5	37	772	33003	42	809
        31	0.1491000	5	16	631	32924	26	647
        32	0.1492100	5	10	494	33021	38	504
        33	0.1493100	5	11	380	32568	29	391
        34	0.1494000	5	4	364	33099	24	368
        35	0.1495000	5	2	307	32825	26	309
*stopped by user: 28/09/2023 15:17:18
