*Begin rocking: 28/09/2023 14:26:04
*Points: 0
*
*notes: 
*Rho-Axis: 8.030
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.1467700	5	28	670	33346	18	698
         1	0.1468900	5	72	836	33093	10	908
         2	0.1470000	5	112	1139	33055	25	1251
         3	0.1471000	5	225	1554	33265	56	1779
         4	0.1472100	5	386	2066	33172	79	2452
         5	0.1473000	5	474	2634	32995	147	3108
         6	0.1474000	5	718	3564	33072	256	4282
         7	0.1475200	5	1007	4553	33164	467	5560
         8	0.1476100	5	1324	5430	32920	716	6754
         9	0.1477100	5	1747	7098	32988	1048	8845
        10	0.1478100	5	1691	8198	32882	1081	9889
        11	0.1479000	5	1579	8156	32836	963	9735
        12	0.1480100	5	1366	7074	32883	769	8440
        13	0.1481100	5	1187	5869	33085	553	7056
        14	0.1482000	5	898	4413	32793	390	5311
        15	0.1483000	5	602	3508	32996	213	4110
        16	0.1484100	5	375	2801	33150	104	3176
        17	0.1485100	5	257	2122	33020	73	2379
        18	0.1486000	5	123	1460	33374	33	1583
        19	0.1487200	5	85	1050	33177	18	1135
        20	0.1488000	5	30	817	33064	19	847
        21	0.1489000	5	18	635	33206	10	653
        22	0.1490100	5	8	497	32834	6	505
        23	0.1491100	5	8	440	33177	10	448
        24	0.1492000	5	4	358	32929	8	362
        25	0.1493100	5	4	274	33338	5	278
        26	0.1494100	5	7	272	33139	4	279
        27	0.1495000	5	1	232	32917	3	233
        28	0.1496100	5	3	187	32837	6	190
        29	0.1497000	5	0	174	33156	5	174
        30	0.1498000	5	1	155	32952	5	156
        31	0.1499100	5	2	159	33446	6	161
*stopped by user: 28/09/2023 14:29:42
