# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 166 10306 706978 7705 3764393040 10472 0.0000000 0.0000000 109.9497070 58.6593750
-1.5000000 60.0 515 9892 668396 7786 3764393104 10407 0.0000000 0.0000000 109.9497070 58.6593750
-1.2500000 60.0 1080 10135 640128 7688 3764393168 11215 0.0000000 0.0000000 109.9497070 58.6593750
-1.0000000 60.0 1847 10028 680361 7848 3764393233 11875 0.0000000 0.0000000 109.9497070 58.6593750
-0.7500000 60.0 2060 9915 690235 7822 3764393297 11975 0.0000000 0.0000000 109.9497070 58.6593750
-0.5000000 60.0 2033 9793 655644 7731 3764393361 11826 0.0000000 0.0000000 109.9497070 58.6593750
-0.2500000 60.0 1482 9840 632865 7711 3764393425 11322 0.0000000 0.0000000 109.9497070 58.6593750
0.0000000 60.0 810 9860 621997 7875 3764393490 10670 0.0000000 0.0000000 109.9497070 58.6593750
0.2500000 60.0 264 10123 635144 7781 3764393554 10387 0.0000000 0.0000000 109.9497070 58.6593750
0.5000000 60.0 192 9848 689295 7749 3764393618 10040 0.0000000 0.0000000 109.9497070 58.6593750
0.7500000 60.0 515 10098 699626 7798 3764393682 10613 0.0000000 0.0000000 109.9497070 58.6593750
1.0000000 60.0 1214 9505 703563 7728 3764393747 10719 0.0000000 0.0000000 109.9497070 58.6593750
1.2500000 60.0 1889 9979 686655 7961 3764393811 11868 0.0000000 0.0000000 109.9497070 58.6593750
1.5000000 60.0 2235 9823 658697 7823 3764393875 12058 0.0000000 0.0000000 109.9497070 58.6593750
1.7500000 60.0 2048 9909 651073 7614 3764393939 11957 0.0000000 0.0000000 109.9497070 58.6593750
