# chi w+ err
-8.7873280 21.0717306 0.1616554
-8.1787278 13.1512916 0.0837013
-7.5661698 5.7651785 0.0555560
-6.9654690 0.8101445 0.0309139
-6.3568689 -1.7079157 0.0511835
-5.7482687 -5.3906596 0.0497286
-5.1436182 -10.5569754 0.0468592
-4.5350099 -16.0459728 0.0790212
-3.9303594 -26.3757115 0.2250248
-3.3217593 1.6175067 0.2403233
-2.7131591 46.9804247 0.2461919
-2.1085086 16.8739734 0.0848691
-1.5038581 10.8943121 0.0466210
-0.8913002 3.4808913 0.0612411
-0.2827000 -2.1442910 0.0415300
0.3219505 -3.6203004 0.0438170
0.9226513 -10.5537553 0.0571167
1.5352092 -13.1332166 0.1171737
2.1438094 -31.1166553 0.2206328
