# chi w+ err
-1.6294287 2.7906857 0.2066002
-1.4203012 23.1937005 0.4144036
-1.2262929 16.1560798 0.2137655
-1.0310229 8.9726370 0.1429951
-0.8395327 3.5456501 0.0902755
-0.6455244 1.0801777 0.1411693
-0.4515161 -1.6004205 0.1293033
-0.2587669 -8.5481722 0.1416228
-0.0647560 -15.0115506 0.2239122
0.1279932 -25.2294612 0.6298735
0.3220015 -1.6278169 0.2222920
0.5160098 27.9684546 0.5157443
0.7087590 21.0364426 0.2161544
0.9015082 14.4788361 0.1676296
1.0967782 5.5540077 0.1588241
1.2907865 0.6870886 0.1236864
1.4835357 -1.4539479 0.1319887
1.6750259 -7.4657012 0.1865084
1.8702958 -10.2735041 0.3382136
2.0643041 -29.6178663 0.7426170
2.2570534 -25.1439963 0.4765949
2.4498026 16.2545340 0.5671328
2.6450725 21.1108696 0.6548690
2.8378218 13.4887307 0.2994340
3.0305710 7.8075777 0.2203057
3.2245793 1.7927735 0.1129718
3.4173285 -1.9651001 0.1043588
3.6125985 -3.3407023 0.1009707
3.8040860 -11.7812469 0.2496946
3.9980969 -17.1530754 0.3685116
4.1921052 -24.1670370 0.4816689
4.3861135 -1.5386471 0.1896758
