# chi w+ err
-8.7626785 28.7035046 4.0175249
-8.1520529 22.2077859 3.2659651
-7.5374564 19.5329772 2.8237574
-6.9347565 13.7183584 2.2541167
-6.3241310 7.9631592 2.1078022
-5.7135054 7.2832391 2.6129883
-5.1068427 10.5406996 3.5035243
-4.4962090 9.1465643 3.1687264
-3.8895463 23.3184851 9.6517001
-3.2789208 98.7754989 19.9814077
-2.6682952 20.1698954 16.2275585
-2.0616325 22.9865137 3.5634061
-1.4549698 8.8002253 3.5981873
-0.8403733 9.9419189 3.1771065
-0.2297477 8.2896734 1.6900962
0.3769150 12.0719589 2.0636408
0.9796149 17.8819367 3.6995900
1.5942114 9.7608401 3.4900099
2.2048369 6.3694256 4.5314680
