# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 223 8894 374792 10003 3771226481 9117 0.0000000 0.0000000 1.6040040
-0.0858680 60.0 76 9074 374452 10096 3771226609 9150 0.0000000 0.0000000 1.6040040
-0.0717360 60.0 56 8922 374015 10176 3771226736 8978 0.0000000 0.0000000 1.6040040
-0.0646700 60.0 91 9170 377033 9977 3771226864 9261 0.0000000 0.0000000 1.6040040
-0.0505380 60.0 303 9009 376355 10014 3771226991 9312 0.0000000 0.0000000 1.6040040
-0.0364060 60.0 597 8828 376377 10188 3771227118 9425 0.0000000 0.0000000 1.6040040
-0.0222740 60.0 729 8959 374065 9811 3771227246 9688 0.0000000 0.0000000 1.6040040
-0.0081420 60.0 805 9019 374608 10053 3771227373 9824 0.0000000 0.0000000 1.6040040
0.0059900 60.0 620 9092 374694 9940 3771227501 9712 0.0000000 0.0000000 1.6040040
0.0201220 60.0 411 9172 375768 10084 3771227628 9583 0.0000000 0.0000000 1.6040040
0.0342540 60.0 182 9010 376067 9870 3771227755 9192 0.0000000 0.0000000 1.6040040
0.0483860 60.0 37 8997 375176 10056 3771227883 9034 0.0000000 0.0000000 1.6040040
0.0625180 60.0 75 8803 375332 9825 3771228010 8878 0.0000000 0.0000000 1.6040040
0.0766500 60.0 288 9059 375636 10059 3771228138 9347 0.0000000 0.0000000 1.6040040
0.0907820 60.0 541 9037 376041 9991 3771228265 9578 0.0000000 0.0000000 1.6040040
0.1049140 60.0 704 8973 376536 10082 3771228392 9677 0.0000000 0.0000000 1.6040040
