# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.010 33 114 0.000
1.000 3600.010 54 216 0.000
2.000 3600.010 50 240 0.000
3.000 3600.010 52 246 0.000
4.000 3600.010 68 200 0.000
5.000 3600.010 58 166 0.000
6.000 3600.010 46 152 0.000
7.000 3600.010 40 97 0.000
8.000 3600.010 55 108 0.000
9.000 3600.010 43 100 0.000
10.000 3600.010 50 122 0.000
11.000 3600.010 42 116 0.000
12.000 3600.010 56 151 0.000
13.000 3600.010 32 148 0.000
14.000 3600.010 42 181 0.000
15.000 3600.010 65 218 0.000
16.000 3600.010 57 242 0.000
17.000 3600.010 53 217 0.000
18.000 3600.010 70 223 0.000
19.000 3600.010 57 208 0.000
20.000 3600.010 48 188 0.000
21.000 3600.010 32 146 0.000
22.000 3600.010 43 145 0.000
23.000 3600.010 47 118 0.000
24.000 3600.010 47 105 0.000
25.000 3600.010 53 105 0.000
26.000 3600.010 60 98 0.000
27.000 3600.010 50 122 0.000
28.000 3600.010 48 128 0.000
29.000 3600.010 53 144 0.000
30.000 3600.010 53 224 0.000
31.000 3600.010 52 203 0.000
32.000 3600.010 57 220 0.000
33.000 3600.010 61 210 0.000
34.000 3600.010 57 219 0.000
35.000 3600.010 48 191 0.000
36.000 3600.010 53 194 0.000
37.000 3600.010 49 151 0.000
38.000 3600.010 59 127 0.000
39.000 3600.010 42 104 0.000
40.000 3600.010 62 77 0.000
41.000 3600.010 53 103 0.000
42.000 3600.010 47 100 0.000
43.000 3600.010 47 99 0.000
44.000 3600.010 62 158 0.000
45.000 3600.010 54 164 0.000
46.000 3600.010 54 181 0.000
47.000 3600.010 70 198 0.000
48.000 3600.010 60 234 0.000
49.000 3600.010 59 221 0.000
50.000 3600.010 61 218 0.000
51.000 3600.010 58 179 0.000
52.000 3600.010 62 179 0.000
53.000 3600.010 56 139 0.000
54.000 3600.010 60 127 0.000
55.000 3600.010 45 98 0.000
56.000 3600.010 48 88 0.000
57.000 3600.010 47 75 0.000
58.000 3600.010 53 94 0.000
59.000 3600.010 53 107 0.000
60.000 3600.010 51 122 0.000
61.000 3600.010 56 153 0.000
62.000 3600.010 55 192 0.000
63.000 3600.010 48 204 0.000
64.000 3600.010 63 227 0.000
65.000 3600.010 48 234 0.000
66.000 3600.010 56 237 0.000
67.000 3600.010 58 186 0.000
68.000 3600.010 41 186 0.000
69.000 3600.010 39 151 0.000
70.000 3600.010 51 110 0.000
71.000 3600.010 43 78 0.000
72.000 3600.010 48 67 0.000
73.000 3600.010 56 70 0.000
74.000 3600.010 52 85 0.000
75.000 3600.010 61 104 0.000
76.000 3600.010 57 158 0.000
77.000 3600.010 54 151 0.000
78.000 3600.010 49 206 0.000
79.000 3600.010 46 208 0.000
80.000 3600.010 63 215 0.000
81.000 3600.010 57 203 0.000
82.000 3600.010 65 242 0.000
83.000 3600.010 61 195 0.000
84.000 3600.010 55 176 0.000
85.000 3600.010 49 126 0.000
86.000 3600.010 52 109 0.000
87.000 3600.010 47 87 0.000
88.000 3600.010 54 79 0.000
89.000 3600.010 48 94 0.000
90.000 3600.010 59 80 0.000
91.000 3600.010 43 82 0.000
92.000 3600.010 55 130 0.000
93.000 3600.010 41 156 0.000
94.000 3600.010 37 186 0.000
95.000 3600.010 53 201 0.000
96.000 3600.010 56 247 0.000
97.000 3600.010 58 253 0.000
98.000 3600.010 54 233 0.000
99.000 3600.010 69 188 0.000
100.000 3600.010 68 159 0.000
101.000 3600.010 55 152 0.000
102.000 3600.010 50 130 0.000
103.000 3600.010 63 91 0.000
104.000 3600.010 52 82 0.000
105.000 3600.010 40 77 0.000
106.000 3600.010 51 87 0.000
107.000 3600.010 46 97 0.000
108.000 3600.010 69 141 0.000
