# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 120.0 536 21039 743743 20720 3771004271 21575 0.0000000 0.0000000 0.0329590
-0.0858680 120.0 201 20725 744343 20694 3771004518 20926 0.0000000 0.0000000 0.0329590
-0.0717360 120.0 84 21106 743537 20450 3771004765 21190 0.0000000 0.0000000 0.0329590
-0.0646700 120.0 97 21150 743655 20230 3771005012 21247 0.0000000 0.0000000 0.0329590
-0.0505380 120.0 344 20915 744013 20226 3771005259 21259 0.0000000 0.0000000 0.0329590
-0.0364060 120.0 630 21111 744628 20613 3771005506 21741 0.0000000 0.0000000 0.0329590
-0.0222740 120.0 966 21053 742551 20659 3771005753 22019 0.0000000 0.0000000 0.0329590
-0.0081420 120.0 1148 21121 745537 20493 3771006000 22269 0.0000000 0.0000000 0.0329590
0.0059900 120.0 991 21237 744713 20465 3771006247 22228 0.0000000 0.0000000 0.0329590
0.0201220 120.0 747 20979 744252 20838 3771006494 21726 0.0000000 0.0000000 0.0329590
0.0342540 120.0 394 21351 745235 20415 3771006741 21745 0.0000000 0.0000000 0.0329590
0.0483860 120.0 119 21194 745094 20644 3771006988 21313 0.0000000 0.0000000 0.0329590
0.0625180 120.0 73 21227 746421 20455 3771007235 21300 0.0000000 0.0000000 0.0329590
0.0766500 120.0 289 21189 744501 20305 3771007482 21478 0.0000000 0.0000000 0.0329590
0.0907820 120.0 581 21188 742411 20364 3771007729 21769 0.0000000 0.0000000 0.0329590
0.1049140 120.0 972 21117 742849 20582 3771007976 22089 0.0000000 0.0000000 0.0329590
